"№";"Определение";"Дата";"Дело N";"Истец (должность)";"Ответчик";"Способ определения размера ЗП";"Размер / база расчёта";"Итог";"Ключевой вывод по п. 23"
"25";"33-62251/2025";"17.12.2025";"2-7875/2025";"К.Р.АА., совместитель";"ООО УК Москомплекс";"Обычное вознаграждение";"50 000 руб./мес.; зарплата 1 450 000 руб.";"Изменено";"Неопровергнутый размер принят как соразмерный обычному"
"26";"33-57196/2025";"01.12.2025";"2-2166/2024";"О., должность обезличена";"ИП Козарь Л.И.";"Расчёт среднего заработка по периодам";"Средний заработок 240 421,44 руб.; отпуск 351 496,32 руб.";"Отменено, новое решение";"Взыскание ограничено доказанными периодами"
"27";"33-57495/2025";"10.12.2025";"2-6236/2023";"Н., должность обезличена";"ООО Верниум";"Зачёт ранее выплаченной суммы";"Выплачено 789 180,34 руб.; взыскано 1 853 344,92 руб.";"Частично отменено";"Двойное взыскание исключено"
"28";"33-47884/2025";"09.12.2025";"обезличено";"Фио, должность обезличена";"ИП фио";"Установленный оклад и выплаты";"Суммы обезличены";"Оставлено без изменения";"Статистика не заменяет конкретные условия труда"
"29";"33-34651/2025";"18.11.2025";"обезличено";"Е.В., отделочник";"ООО Инженерные системы";"Подтверждённая база и выплаты";"Зарплата 48 632 руб.; отпуск 112 317,99 руб.";"Частично отменено";"Недоказанная часть заявленного размера исключена"
"30";"33-43549/25";"11.11.2025";"02-0644/25";"С., операционный директор";"ООО КЭНДИ КЭТ РУС";"Причитающееся минус перечисленное";"Зарплата 432 460,07 руб.; отпуск 101 025,79 руб.";"Изменено";"Расчёт требует зачёта фактических выплат"
"31";"33-52376/25";"18.12.2025";"2-3937/25";"П., менеджер по продажам";"АНО Центр развития предпринимательства+";"Письменный оклад";"23 508 руб./мес.";"Оставлено без изменения";"П. 23 не отменяет последующий письменный оклад"
"32";"33-52376/25";"18.12.2025";"2-3937/25";"П., менеджер по продажам, дубль";"АНО Центр развития предпринимательства+";"Повтор позиции 31";"23 508 руб./мес.";"Оставлено без изменения";"Дубль позиции 31"
"33";"33-35323/2025";"12.08.2025";"2-1349/2025";"К., должность обезличена";"ООО ФЛАГМАН";"Согласованный оклад";"120 000 руб./мес.; взыскано 360 000 руб.";"Отменено, новое решение";"Неопровергнутый оклад принят при отсутствии договора"
"34";"33-20492/2025";"07.08.2025";"2-2742/2024";"А., должность обезличена";"ООО Стройуниверсал-99";"Ставка за смену";"7 000 руб./смена; взыскано 273 000 руб.";"Отменено, новое решение";"Конкретная ставка и смены образуют базу взыскания"
"35";"33-37064/2025";"09.10.2025";"2-4690/2024";"А., должность обезличена";"АО ТИНЬКОФФ БАНК";"Доказанная база среднего заработка";"Средний заработок 5 917 580,75 руб.";"Отменено, новое решение";"Средний заработок рассчитывается по доказанным выплатам"
"36";"33-28779/2025";"05.08.2025";"2-6947/2024";"Д., замгендиректора по безопасности";"АО Гостиный двор и торговые ряды";"Согласованный оклад";"155 172 руб./мес.; средний заработок 300 960 руб.";"Оставлено без изменения";"Неопровергнутый оклад принят для среднего заработка"
"37";"33-19161/2025";"09.06.2025";"2-2904/2022";"С. и К.А., бригадиры";"ООО Экологический комплекс";"Согласованные ставки";"С. 300 000 руб.; К.А. 280 000 руб.";"Отменено, новое решение";"П. 23 применяется отдельно к каждому работнику"
"38";"33-11633/2025";"14.04.2025";"2-2284/2024";"Малая, должность обезличена";"ИП М.";"Расчёт истца";"Зарплата 45 100 руб.; компенсация 16 503,59 руб.";"Отменено, новое решение";"Расчёт принят при отсутствии доказательств оплаты"
"39";"33-5455/2024";"24.02.2025";"2-6483/2023";"С., помощник адвоката";"Ж.а";"Доказанный оклад";"Зарплата 23 478,77 руб.; отпуск 28 264,96 руб.";"Частично изменено";"П. 23 не заменяет доказательство высокого оклада"
"40";"33-2025/2025";"18.02.2025";"2-5377/2023";"С., повар";"ФГБОУ ВО РГСУ";"Оклад и зачёт выплат";"55 000 руб./мес.; долг 62 500 руб.";"Оставлено без изменения";"Позднее оформление не устраняет долг за фактическую работу"
"41";"33-2025/2025";"18.02.2025";"2-5377/2023";"С., повар, дубль";"ФГБОУ ВО РГСУ";"Повтор позиции 40";"55 000 руб./мес.; долг 62 500 руб.";"Оставлено без изменения";"Дубль стыка частей; позднее оформление не устраняет долг"
"42";"33-50006/2024";"28.11.2024";"2-2203/2024";"А.Р.ИА., водитель-экспедитор";"ООО Духовное преображение";"Фактический допуск и доказанный период";"Отпускные 98 841,50 руб.; прочие суммы обезличены";"Отменено, новое решение";"Установление отношений не доказывает всю заявленную зарплату"
"43";"33-52853/24";"12.12.2024";"2-6362/24";"З., стоматолог";"ООО ЮР-АВТО XXI";"Смены, вакансия и фактическая работа";"Суммы обезличены";"Изменено";"Итог привязан к реально выполненным сменам"
"44";"33-49915";"28.11.2024";"2-1311/2024";"Д., мастер маникюра";"ООО Сюжет";"Московская МЗП";"Зарплата 49 602 руб.";"Оставлено без изменения";"МЗП допустима при отсутствии доказанной обычной оплаты"
"45";"33-43233/2024";"22.10.2024";"2-414/2022";"П.В., коммерческий директор";"ИП П.В.";"Переводы, свидетели и расчёт";"Суммы обезличены";"Оставлено без изменения";"Переводы дополняют расчёт при отсутствии договора"
"46";"33-44834/2024";"08.10.2024";"2-250/2024";"П.К., стоматолог-ортопед, 0,5 ставки";"ООО Стоматологический центр Безупречная улыбка";"Период и ставка совместительства";"Зарплата 296 607,55 руб.; отпуск 20 870,87 руб.";"Отменено, новое решение";"Расчёт учитывает ставку и реальный период"
"47";"33-34270/2024";"08.10.2024";"2-20209/2023";"М., главный ветеринарный врач";"ООО Ветеринарный центр на Варшавке";"Начисления работодателя";"Зарплата 330 407 руб.; компенсация 397 209,50 руб.";"Отменено, новое решение";"Начисления становятся базой при отсутствии доказательств выплаты"
"48";"33-39339/2024";"24.09.2024";"02-2178/2023";"Фио, должность обезличена";"ООО обезличено";"Договор и штатные документы";"Размер обезличен";"Оставлено без изменения";"Вакансии не заменяют доказательство изменения оклада"
"49";"33-43513/2024";"14.10.2024";"02-1204/2024";"У., оператор клиентской службы";"ООО Бианка Премиум";"Справка, выплаты и вакансии";"Суммы обезличены";"Изменено/частично";"Подписанная справка может подтвердить реальную зарплату"
"50";"33-35143/24";"24.09.2024";"02-5083/23";"М.С., пекарь";"ИП В.А.ХА.";"Фактический допуск и расчёт";"Зарплата 152 887,06 руб.; проценты 13 164,18 руб.";"Изменено/частично";"Работодатель должен опровергнуть расчёт задолженности"
"51";"33-27408/2024";"01.08.2024";"2-6483/2023";"С.А.А., помощник адвоката";"Ж.";"Доказанный расчёт и фактический допуск";"Зарплата 23 478,77 руб.; отпуск 28 264,96 руб.";"Частично изменено";"Доказанный расчёт сохраняется, отпускные проверяются отдельно"
"52";"33-22024/2024";"24.07.2024";"2-4653/2023";"Родственники Б.З.Н.";"ООО СтройИнвест-3";"Установление фактической работы";"Размер зарплаты не выделен";"Отменено, новое решение";"П. 23 сопровождает спор о несчастном случае"
"53";"33-29665/2024";"22.07.2024";"2-6478/2023";"Ч., должность обезличена";"ООО Абсолют Инвест";"Месячная база";"66 785 руб./мес.; зарплата 2 943 914,25 руб. суммарно";"Частично отменено";"Апелляция сама пересчитала периоды невыплаты"
"54";"33-23734/2024";"10.07.2024";"2-5996/2023";"С.И., должность обезличена";"ИП О.";"Переписка и согласованный оклад";"60 000 руб./мес.; долг 55 000 руб.";"Оставлено без изменения";"Неоспоренная переписка фиксирует размер оплаты"
"55";"33-25365/2024";"04.07.2024";"обезличено";"А., монтажник трубопроводов";"ООО Юпитер";"Часы и ставка минус выплаты";"280 руб./час; долг 49 163 руб.";"Отменено, новое решение";"Расчёт учитывает фактическое время и перечисленное"
"56";"33-20644/2024";"10.06.2024";"2-0541/2024";"П., менеджер по продажам";"АНО Центр развития предпринимательства+";"МРОТ Москвы";"Средний заработок 432 099 руб. и суммы по МРОТ";"Оставлено без изменения";"Без доказательств оклада применяется минимум"
"57";"33-21295/2024";"30.05.2024";"2-0111/2023";"С., должность обезличена";"ООО Оргтиум плюс";"Установленный расчёт";"Задолженность 283 992,09 руб.";"Оставлено без изменения";"П. 23 не требует нового расчёта при корректной оценке"
"58";"33-16791/2024";"28.05.2024";"02-6285/2023";"Ч., менеджер по продажам";"ООО Арматура М";"Установленная оплата";"Зарплата 120 000 руб. за 3 месяца";"Оставлено без изменения";"Средняя зарплата региона не применяется автоматически"
"59";"33-4989/2024";"19.03.2024";"2-0876/2023";"И.М.Н., юрист";"ООО КИП";"Обычное вознаграждение по официальным данным";"Суммы обезличены";"Оставлено без изменения";"Отсутствие штатки переносит риск на работодателя"
"60";"33-2767/2024";"11.03.2024";"2-6684/2022";"Г.А., должность обезличена";"ООО Облачные решения";"Оклад и зачёт выплат";"138 000 руб./мес.; средний заработок 777 820,78 руб.";"Отменено, новое решение";"Уже выплаченное вычитается из среднего заработка"
"61";"33-3197/2024";"29.02.2024";"2-3122/2023";"Е., должность обезличена";"ООО ГК А-ГРУПП";"Зарплата отдельно не рассчитывалась";"Моральный вред 10 000 руб.; расходы 35 000 руб.";"Оставлено без изменения";"Упоминание п. 23 не означает самостоятельного расчёта"
"62";"33-2617/2024";"13.02.2024";"2-4902/2023";"Гиль, начальник охраны";"ООО ЧОП Баярд-Пультовая охрана";"Штатное расписание и локальное положение";"25 000 руб./мес.; зарплата 22 727,40 руб.";"Оставлено без изменения";"Штатный оклад сильнее внешней вакансии"
"63";"33-697/2024";"31.01.2024";"2-965/2021";"Б.П.ГА., должность обезличена";"ООО Краун управление и эксплуатация";"Установленная зарплата и зачёт выплаты";"Зарплата 127 268 руб.; задержка 68 662,47 руб.";"Частично изменено";"Компенсация считается после определения зарплаты по п. 23"
"64";"33-47420/2023";"23.11.2023";"2-4540/2022";"А., должность обезличена";"ООО ИСМА";"Неоспоренный расчёт истца";"Зарплата 146 000 руб.";"Отменено, новое решение";"При отсутствии оплаты непротиворечивый расчёт принимается"
"65";"33-42989/2023";"17.11.2023";"2-1962/2023";"У., работа над проектами";"АНО Совет по развитию внешней торговли";"Аналогия с оплаченным проектом";"Суммы обезличены";"Изменено";"Сопоставимая выполненная работа даёт базу расчёта"
"66";"33-45594/2023";"17.11.2023";"2-133/2023";"К.В., монтажник";"ООО Проектресурс";"Сдельная оплата";"Зарплата 120 000 руб.; задержка 60 568 руб.";"Оставлено без изменения";"Сдельная база принимается при отсутствии иного расчёта"
"67";"33-44339/2023";"17.11.2023";"2-751/2023";"Р., бухгалтер-оператор";"ООО Макарий-М";"Вакансия и переписка";"55 000 руб./мес.; зарплата 7 857,15 руб.";"Оставлено без изменения";"Вакансия работодателя подтверждает обычную оплату в совокупности"
"68";"33-40596/2023";"07.11.2023";"2-4647/2023";"К.Е., должность обезличена";"ООО Люксус Пейнт";"МЗП/минимум для отпускных";"Отпускные 8 326,61 руб.";"Оставлено без изменения";"П. 23 может быть вспомогательным при расчёте отпускных"
"69";"33-31599/2023";"19.09.2023";"2-1006/2023";"Т.А., мастер/бригадир";"ООО Комплекс XXI";"Мосстат по профессиональной группе";"99 152 руб./мес.; зарплата 561 861,33 руб.";"Отменено, новое решение";"Статистика заменяет завышенное требование при сопоставимости"
"70";"33-17878/2023";"19.05.2023";"2-5428/2022";"Ю., охранник";"ООО ЧОП ВИК-ТОРИ";"Зарплата и средний заработок по ст. 139 ТК РФ";"Суммы обезличены";"Отменено, новое решение";"Зарплата и средний заработок считаются раздельно"
"71";"33-48672";"15.12.2022";"2-4058/21";"ФИО, горничная";"ИП ФИО";"Фактический допуск и средний заработок";"Средний заработок обезличен";"Отменено, новое решение";"П. 23 сочетается с восстановлением и средним заработком"
"72";"33-46923/2022";"01.12.2022";"2-454/2022";"Летавица, бар-менеджер";"ООО Симпл Фуд";"Оклад по фактическим отношениям";"60 000 руб./мес.; суммы долга обезличены";"Оставлено без изменения";"Установленный оклад действует при неоформлении"
"73";"33-34409";"19.10.2022";"2-286/22";"П.К., охранник";"ООО АБ МЕИНСА";"Штатный оклад охранника";"Суммы обезличены";"Оставлено без изменения";"Штатный оклад предпочтителен перед произвольным расчётом"
"74";"33-35238/2022";"07.10.2022";"2-3990/2022";"ФИО, музыкальный руководитель";"ИП З.";"Оклад и ст. 139 ТК РФ";"Суммы обезличены";"Оставлено без изменения";"Зарплата и средний заработок считаются раздельно"
"75";"33-20932/2021";"21.07.2022";"2-1339/2021";"М., должность обезличена";"ООО Производственно-строительное объединение 77";"Доказанная зарплата и отпускные";"Суммы обезличены";"Частично изменено";"П. 23 не создаёт иных компенсаций без основания"
"76";"33-20468/2022";"15.07.2022";"2-3322/2021";"А., водитель";"ООО обезличено";"Оклад по установленным отношениям";"70 000 руб./мес.; пособие по ФЗ-125";"Оставлено без изменения";"П. 23 сочетается с расчётом пособия по ФЗ-125"
"77";"33-14189/2022";"13.07.2022";"2-344/2021";"Г., генеральный директор";"ООО М-ТЕК";"Оклад и проверка обычности";"175 000 руб./мес.; зарплата 639 252,15 руб.";"Оставлено без изменения";"Работодатель не доказал несоразмерность высокого оклада"
"78";"33-20937/2022";"27.06.2022";"2-3651/2021";"Пантели..., консультант по продажам";"ООО Недвижимость и Инвестиции";"Оклад по штатным документам";"40 000 руб./мес.; суммы обезличены";"Оставлено без изменения";"Штатные документы подтверждают оклад при неоформлении"
"79";"33-19398";"23.06.2022";"2-2160/22";"А., кондитер";"ООО обезличено";"Почасовая ставка и учёт времени";"Суммы обезличены";"Оставлено без изменения";"Почасовая база связывается с фактически учтёнными часами"
"80";"33-14193/22";"21.06.2022";"обезличено";"И.А., начальник участка";"ООО ЭкоМетИнвест";"Фактический допуск и расчёт";"Суммы обезличены";"Отменено, новое решение";"После установления отношений взыскивается доказанная оплата"
"81";"33-16042/2022";"01.06.2022";"2-3189/2021";"Н., начальник склада";"ООО обезличено";"Документы, свидетель и частичная выплата";"Зарплата 25 943,69 руб.; отпуск 5 262,28 руб.";"Оставлено без изменения";"Интернет-сумма не заменяет доказательство соглашения"
"82";"33-16042/2022";"01.06.2022";"2-3189/2021";"Н., начальник склада, дубль";"ООО обезличено";"Повтор позиции 81";"Зарплата 25 943,69 руб.; отпуск 5 262,28 руб.";"Оставлено без изменения";"Дубль позиции 81"
"83";"33-5424/2022";"15.03.2022";"2-4397/2021";"С., П., Х., А., рабочие разных профессий";"ООО обезличено";"Функция, период и индивидуальный расчёт";"С. 512 584 руб.; П. 116 500 руб.; Х. 221 500 руб.; А. 72 500 руб.";"Оставлено без изменения";"Зарплата считается отдельно по каждому работнику"
"84";"33-1223/2022";"03.03.2022";"обезличено";"Группа работников";"ООО Абсолют Инвест";"Индивидуальные расчёты по периодам";"Примеры: 87 267,89; 99 102,81; 59 242,46; 142 345,16 руб.";"Изменено/частично";"Групповой иск требует индивидуализации базы и периодов"
"85";"33-800/2022";"03.02.2022";"2-11095/2020";"Фио, прораб";"ООО Старс Рост";"Письменная база отсутствует";"Акт без ставки и периода; сумма обезличена";"Отменено, отказано";"Акт без проверяемых параметров не подтверждает размер оплаты"
"86";"33-1091/2022";"03.02.2022";"2-547/2021";"Фио, главный архитектор";"ООО Ава-Декорстудия";"Совокупность данных, доначисление";"Суммы обезличены; доначисления по месяцам";"Отменено, новое решение";"При неоформлении размер восстанавливается по фактическим данным"
"87";"33-2119/2022";"24.01.2022";"2-3623/2021";"Е., руководитель сервисной службы";"ООО ГазСервис";"МЗП Москвы";"Суммы обезличены";"Оставлено без изменения";"При отсутствии письменной базы применяется МЗП"
"88";"33-41817/2021";"02.12.2021";"2-___/2021";"Фио, начальник цеха";"ООО ОБЩЕСТВО";"МЗП Москвы";"Суммы обезличены";"Отменено, новое решение";"Неподписанный договор не доказывает неполную ставку"
"89";"33-40868/2021";"08.11.2021";"2-1411/2021";"Фио, эксперт-консультант";"ООО Наименование";"Средняя зарплата работников соответствующей деятельности";"Сумма обезличена";"Оставлено без изменения";"Статистика может подтверждать обычное вознаграждение"
"90";"2-1058/21, 33-39293";"28.10.2021";"2-1058/21";"И., начальник цеха";"ООО ОБЩЕСТВО";"МЗП Москвы";"Суммы обезличены; вычтены выплаты";"Отменено, новое решение";"Работодатель не доказал согласие на 20% оклада"
"91";"33-37925/2021";"04.10.2021";"2-982/2021";"Фио, вице-президент";"ООО ОБЩЕСТВО";"Фактические начисления, ст. 139 ТК РФ";"Средний заработок обезличен";"Частично изменено";"Расчёт среднего заработка идёт по ст. 139 ТК РФ"
"92";"33-24961";"24.06.2021";"2-376/2020";"Л., бухгалтер";"ООО Эсперанса";"Месячная зарплата и кадровые документы";"Суммы обезличены";"Оставлено без изменения";"При подтверждённой оплате переход к МЗП не нужен"
"93";"33-22591/2021";"22.06.2021";"2-242/2020";"Обезличено, инженер строительного контроля";"ООО Стройконтроль";"МЗП Москвы";"Зарплата 56 343 руб.; отпускные 13 441,49 руб.";"Отменено, новое решение";"При отсутствии договора и обычного вознаграждения применяется МЗП"
"94";"33-16182/2021";"04.06.2021";"2-376/2020";"Б.А.АА., директор по правовым вопросам";"ООО ВЕРБА ПРАЙВЕТ ВЕЛТ";"Мосстат и переписка";"Оклад 180 000 руб.; зарплата 77 142,85 руб.; средний заработок 1 032 000 руб.";"Изменено";"Сопоставимая статистика позволяет заменить МЗП обычным вознаграждением"
"95";"33-6135/2021";"22.03.2021";"2-78/2020";"С., юрист/эксперт";"ООО Юридический холдинг Архипов и партнеры";"Устный оклад, не оспорен";"100 000 руб./мес.; зарплата 326 951,33 руб.";"Частично отменено";"Неоспоренный оклад без явной завышенности может быть принят"
"96";"33-2758/2021";"02.02.2021";"2-3189/2019";"Фио, юрисконсульт";"ООО Инситес";"МЗП Москвы и фактические выплаты";"Суммы обезличены";"Частично отменено";"МЗП применяется к неоформленному периоду с зачётом выплат"
"97";"33-3956";"28.01.2021";"2-4678/2020";"Д.И.Ю., бухгалтер";"ООО Лотос";"МЗП Москвы";"Зарплата 116 510,41 руб.; компенсация 23 244,66 руб.";"Оставлено без изменения";"МЗП сохранена при подтверждённой работе и отсутствии оклада"
"98";"33-2940";"22.01.2021";"2-3586/2020";"К., горничная и администратор";"ООО СОХО ОТЕЛЬ";"Сменные ставки";"57 000 руб.; отпускные 3 101,37 руб.";"Отменено, новое решение";"Табель и посменный расчёт подтверждают фактическую оплату"
"99";"33-2940";"22.01.2021";"2-3586/2020";"К., горничная и администратор, дубль";"ООО СОХО ОТЕЛЬ";"Повтор позиции 98";"57 000 руб.; отпускные 3 101,37 руб.";"Дубль, новое решение";"Полный дубль позиции 98, один уникальный спор"
"100";"33-8322/2020";"26.02.2020";"2-3189/2019";"Т., должность обезличена";"ООО обезличено";"МЗП Москвы для компенсационного расчёта";"Зарплата 24 105 руб.; компенсация дополнительно 10 538,70 руб.";"Частично отменено";"П. 23 влияет на компенсацию, не заменяя доказанную зарплату"
"101";"33-49301/2019";"28.11.2019";"2-684/2018";"И., бухгалтер";"ООО ЮКЦ";"МЗП Москвы вместо оклада";"МЗП 18 781 руб.; зарплата 75 124 руб.";"Отменено, новое решение";"Штатный оклад ниже МЗП не может быть базой"
"102";"4г/9-13546/19";"25.10.2019";"обезличено";"Р., должность обезличена";"ООО ТеплоГарант";"Новый расчёт не производился";"Ранее взыскано 29 560 руб.";"В передаче жалобы отказано";"Кассационный контроль не содержит самостоятельного применения п. 23"
"103";"33-39544";"30.09.2019";"обезличено";"С.М.В., уборщик помещений";"ООО Инанна";"МЗП Москвы";"Зарплата 40 791,41 руб.; компенсация 11 916,53 руб.";"Отменено, новое решение";"При отсутствии обычного вознаграждения применяется МЗП субъекта"
"104";"33-32657/2019";"02.08.2019";"обезличено";"С., водитель-экспедитор";"ООО Экостройсервис";"МЗП Москвы";"18 742 руб./мес.; зарплата 16 867,80 руб.; компенсация 3 384,51 руб.";"Отменено, новое решение";"Недоказанный оклад заменён МЗП за фактически отработанные дни"
"105";"33-28232/2019";"30.07.2019";"обезличено";"К., водитель-экспедитор";"ООО ЗИЗУМС";"МЗП Москвы для отпускных";"Отпускные 28 412 руб.";"Отменено, новое решение";"При переквалификации фрахтования средний заработок берётся из доказуемой базы"
"106";"33-28232/2019";"30.07.2019";"обезличено";"К., водитель-экспедитор, дубль";"ООО ЗИЗУМС";"Повтор позиции 105";"Отпускные 28 412 руб.";"Дубль, новое решение";"Полный дубль позиции 105, один уникальный спор"
"107";"33-15541/2019";"16.05.2019";"обезличено";"Г.С. и И., замерщики-сметчики";"ООО обезличено";"Установленный минимум / документы";"По 44 034,70 руб. зарплаты и 2 980,80 руб. отпускных каждому";"Отменено, новое решение";"Коллективное требование требует отдельного расчёта по каждому работнику"
"108";"33-14506";"26.04.2019";"обезличено";"П., должность обезличена";"ООО Русская производственная компания";"МЗП Москвы";"Зарплата 18 742 руб.; компенсация 4 841,68 руб.";"Отменено, новое решение";"МЗП применяется после подтверждения фактического допуска"
"109";"33-12665/2019";"10.04.2019";"обезличено";"Ш.Н.Ю., должность обезличена";"ИП В.";"МЗП Москвы пропорционально дням";"Зарплата 6 904,94 руб.; проценты 918,93 руб.";"Изменено";"МЗП применяется за фактически отработанные дни"
"110";"33-5036";"02.04.2019";"обезличено";"Е., должность обезличена";"ООО Инанна";"МЗП Москвы";"Зарплата 40 791,41 руб.; отпускные 2 980,81 руб.";"Отменено, новое решение";"Субподрядная схема не исключает трудовую связь и взыскание МЗП"
"111";"33-5037";"02.04.2019";"обезличено";"О., должность обезличена";"ООО Инанна";"МЗП Москвы";"Зарплата 22 049,41 руб.; отпускные 17 910,44 руб.";"Отменено, новое решение";"Минимальная база индивидуализируется по периоду работы"
