"№";"Определение";"Дата";"Дело N";"Истец (должность)";"Ответчик";"Способ определения размера ЗП";"Размер / база расчёта";"Итог";"Ключевой вывод по п. 23"
"23";"88-2141/2024(88-43986/2023)";"24.01.2024";"не указан (иск прокурора)";"бетонщик";"ООО «Кубань Строй Сервис»";"оклад по штатному расписанию";"по штатке";"оставлено без изменения";"При наличии штатного расписания механизм п. 23 не нужен"
"24";"88-39893/2023";"21.12.2023";"2-11251/2022";"водитель 1 класса";"ООО «Эксперт-Строй-Кубань»";"противоречие: справки для банков vs штатное расписание";"76 966 руб. vs 21 400 руб.";"апелляция отменена, новое рассмотрение";"Противоречивые доказательства — оценить все и истребовать статистику по профессии"
"25";"88-33139/2023";"23.11.2023";"2-805/2022 (первый заход)";"управляющий производством общепита";"ИП (Лабинск)";"оклад по неподписанному истцом договору";"по проекту договора";"отменено в части, новое рассмотрение";"Неподписанный договор — не доказательство размера; применять п. 23"
"26";"88-26728/2023";"10.08.2023";"не указан";"управляющая магазином";"ИП Г. (Краснодар)";"отношения оформлены: договор, часовая ставка";"по договору";"отменено в части взысканий";"П. 23 неприменим при оформленных отношениях и письменных доказательствах"
"27";"88-25784/2023";"27.07.2023";"2-1353/2022";"главный инженер";"ООО «ЭКО Технолоджи»";"договор с окладом 400 000 руб. — подпись подложна";"400 000 руб. (подложно)";"отменено полностью, новое рассмотрение";"Подложный договор — не доказательство; переход к обычному вознаграждению"
"28";"88-36742/2022";"09.11.2022";"не указан";"машинист экскаватора";"ООО «СТК Перспектива» (ЯНАО, вахта)";"штатное расписание без статистики";"16 000 руб. по штатке";"отменено в части отказа";"Обычное вознаграждение — с районным коэффициентом, ночными, вахтовой надбавкой"
"29";"88-22331/2022";"25.10.2022";"не указан";"специалист УК (счётчики)";"ООО УК «ЖКО» (Таганрог)";"МЗП в субъекте РФ (ст. 133.1 ТК)";"МЗП Ростовской области";"оставлено без изменения";"МЗП правомерна и для среднего заработка за прогул, и для базы взносов"
"30";"88-32627/2022";"25.10.2022";"не указан";"агент по доставке";"ООО «О-Курьер» (Волгоград)";"статданные применены при наличии доказательств выплат";"по актам/выпискам vs статистика";"отменено в части размера";"Фактические выплаты по актам в приоритете над статистикой"
"31";"88-32570/2022";"18.10.2022";"не указан";"маркетолог";"ИП С.А.Ю.";"фактические выплаты/условие ГПД, не статистика";"50 000 руб./мес по ГПД";"отменено в части, новое рассмотрение";"Статистика Росстата неприменима при наличии доказательств реальных выплат"
"32";"88-13012/2022";"02.06.2022";"не указан";"водитель-экспедитор";"ООО УТК «Мегаполис»";"письменный трудовой договор";"20 000 руб. оклад";"оставлено без изменения";"П. 23 применим только при неоформленных отношениях; договор определяет размер"
"33";"88-9948/2021";"08.04.2021";"не указан";"менеджер по продажам";"ИП Ш.";"апелляция: МЗП края; первая инстанция: статистика";"12 130 руб.; верно: МРОТ 2019 — 11 280 руб.";"отменено в части, новое рассмотрение";"Отмена за МРОТ не того периода и выход за пределы требований; п. 23 заявлял сам ИП"
"34";"88-3247/2019";"15.01.2020";"не указан";"педагоги/воспитатели";"ОДО ЧУ «Звёздный ковчег»";"обычное вознаграждение через судебную экспертизу";"по заключению эксперта";"оставлено без изменения";"Обычное вознаграждение устанавливается экспертизой по аналогичным должностям"
