"№";"Определение";"Дата";"Дело N";"Истец (должность)";"Ответчик";"Способ определения размера ЗП";"Размер / база расчёта";"Итог";"Ключевой вывод по п. 23"
"46";"88-11001/2024";"23.05.2024";"2-1330/2023";"П.В., работник";"Организация";"Смены и выплаты";"1920 руб. за смену";"Оставлено";"При сменной работе важны фактические смены"
"47";"88-9615/2024";"23.05.2024";"2-2295/2023";"К., работник";"ООО Партнер";"Документы работодателя";"Размер по письменным начислениям";"Оставлено";"П. 23 не отменяет проверки корпоративных отношений"
"48";"88-10162/2024";"23.05.2024";"2-447/2023";"С.Т.Б., руководитель";"Администрация города Оби, МУТП Авиатор";"Архивные данные и начисления";"Исторические данные предприятия";"Оставлено";"Исторические данные подтверждают оплату руководителя"
"49";"88-9475/2024";"16.05.2024";"обезличено";"К.Ю., кадровый специалист";"ООО Газпромнефть Бизнес-сервис";"Сопоставимая должность и индекс";"Расчёт по индексу роста зарплаты";"Оставлено";"При отсутствии штатной должности допустима статистика"
"50";"88-8317/2024";"25.04.2024";"2-1964/2023";"Е., продавец";"ИП М.";"Статистика продавцов";"Средняя зарплата 40787 руб.; расчёт по часам";"Оставлено";"Статистика сопоставляется с часами и периодом"
"51";"88-8464/2024";"25.04.2024";"2-1618/2023";"С., работник";"ИП";"Минимум и фактическое время";"Доказанный период и объём труда";"Оставлено";"Взыскание ограничено доказанным объёмом"
"52";"88-7818/2024";"23.04.2024";"обезличено";"Ш.Ф.Ш., работник";"Т.М.";"Выплаты и минимум";"Подтверждённые выплаты";"Оставлено";"Выплаты без соглашения не доказывают полный оклад"
"53";"88-8260/2024";"16.04.2024";"2-141/2023";"Заместитель руководителя";"Организация";"Доказанная оплата";"Размер по периоду и документам";"Оставлено";"П. 23 не заменяет доказательство периода и функции"
"54";"88-4501/2024";"05.03.2024";"2-1558/2023";"П.Н., коммерческий директор (совместительство)";"ИП Г.Т.";"МРОТ";"Заявлено 597137,50 руб. из МРОТ";"Оставлено";"Совместителю без доказательств оклада — расчёт из МРОТ"
"55";"88-1355/2024";"29.02.2024";"2-380/2023";"С., работник";"Организация";"Фактические начисления";"Средняя база по периоду";"Оставлено";"Производные выплаты зависят от корректной базы"
"56";"88-2636/2024";"29.02.2024";"2-89/2023";"К., работник";"Работодатель";"Начисления и периоды";"Подтверждённые начисления";"Оставлено";"При начислениях статистика не применяется автоматически"
"57";"88-4290/2024";"27.02.2024";"2-319/2023";"Работник";"Организация";"Ведомости и показания";"Размер по совокупности доказательств";"Оставлено";"Противоречивые ведомости оцениваются в совокупности"
"58";"88-3390/2024";"13.02.2024";"2-3069/2023";"Ч.А.М., работник";"Организация";"Минимум и период";"Доказанный период";"Оставлено";"Минимальная база не расширяет период"
"59";"88-3291/2024";"13.02.2024";"2-1623/2023";"Г., работник";"Садоводческое объединение";"Начисления и время";"По фактической работе";"Оставлено";"Статус работодателя не освобождает от подтверждения оплаты"
"60";"88-3834/2024";"08.02.2024";"2-2047/2023";"Работник";"Организация";"Минимальная гарантия";"За подтверждённые периоды";"Оставлено";"П. 23 действует при доказанном допуске"
"61";"88-3296/2024";"06.02.2024";"обезличено";"С., работник";"ИП";"Минимум и время";"Доказанный период";"Оставлено";"Взыскание не выходит за пределы доказанной работы"
"62";"88-1210/2024";"30.01.2024";"обезличено";"Работник";"Работодатель";"Минимальная гарантия";"За установленный период";"Оставлено";"Минимум применяется к установленной работе"
"63";"88-2768/2024";"25.01.2024";"2-747/2023";"Работник";"Работодатель";"МЗП и фактическое время";"Расчёт по МЗП";"Оставлено";"Бремя расчёта лежит на работодателе"
"64";"88-448/2024";"23.01.2024";"обезличено";"Работники";"Работодатель";"Минимум и доказанный период";"Доказанная часть";"Оставлено";"Неподтверждённая часть не взыскивается"
"65";"88-49/2024";"18.01.2024";"2-211/2023";"Работник";"Организация";"Начисления и график";"По документам и периоду";"Оставлено";"Производные выплаты следуют зарплате"
"66";"88-37/2024";"09.01.2024";"2-542/2023";"Работник";"Работодатель";"Минимум и период";"Подтверждённое время";"Оставлено";"Нужно установить допуск и период"
"67";"88-25643/2023";"21.12.2023";"обезличено";"Работник";"Работодатель";"МРОТ и период";"Минимальная гарантия";"Оставлено";"Минимум восполняет кадровый вакуум"
"68";"88-24170/2023";"12.12.2023";"2-29/2023";"М., работник";"Организация";"Начисления и период";"Доказанный период";"Оставлено";"П. 23 не расширяет доказанный период"
"69";"88-23214/2023";"12.12.2023";"2-567/2023";"Работник";"Работодатель";"МЗП региона и период";"Минимальная база за установленную работу";"Оставлено";"Прокурорская защита не меняет иерархию п. 23"
"70";"88-25251/2023";"07.12.2023";"2-20/2023";"П., работник";"ООО";"Начисления и минимум";"Подтверждённый размер";"Оставлено";"Размер ограничен доказанной работой"
"71";"88-25862/2023";"07.12.2023";"2-82/2023";"Д., работник";"Организация";"Минимум и период";"Минимальная база";"Оставлено";"МРОТ применяется после установления функции"
"72";"88-23506/2023";"05.12.2023";"2-2445/2021";"М.И.А., работник";"ООО Облачный атлас";"Минимум и доказанный период";"По подтверждённой работе";"Оставлено";"Молчание работодателя усиливает резервную базу"
"73";"88-19271/2023";"02.11.2023";"обезличено";"Работник";"Работодатель";"Минимум и время";"Доказанный период";"Оставлено";"Предположение о зарплате не равно окладу"
"74";"88-18617/2023";"24.10.2023";"2-3048/2022";"Работник";"Организация";"Начисления и период";"Подтверждённая база";"Оставлено";"Производные выплаты следуют доказанной базе"
"75";"88-16525/2023";"26.09.2023";"2-419/2023";"К., работник";"Работодатель";"Минимум и рабочие дни";"За фактические дни";"Оставлено";"Расчёт ограничен фактическими днями"
"76";"88-17839/2023";"21.09.2023";"2-6155/2022";"Работник";"Организация";"Сопоставимая должность и индекс";"Статистическая база";"Оставлено";"При отсутствии ставки допустима статистика"
"77";"88-15972/2023";"21.09.2023";"2-28/2023";"Работник";"Организация";"Минимум и период";"Минимальная база";"Оставлено";"Недоказанный размер не взыскивается сверх минимума"
"78";"88-19239/2023";"21.09.2023";"2-424/2023";"З., работник";"ООО";"Минимум и доказанный период";"По установленной работе";"Оставлено";"Кадровый вакуум не лишает права на минимум"
"79";"88-17023/2023";"22.08.2023";"2-98/2023";"Работник";"Работодатель";"Начисления и минимум";"База за установленный период";"Оставлено";"П. 23 применяется к отпускной компенсации"
"80";"88-17529/2023";"17.08.2023";"2-2562/2022";"Работник";"Работодатель";"Иркутстат";"Средняя региональная зарплата";"Оставлено";"Региональная статистика может быть обычным вознаграждением"
"81";"88-16805/2023";"17.08.2023";"2-63/2022";"К., работник";"ИП С.";"Минимальная база (п. 23)";"По установленной работе";"Оставлено";"Минимум применяется после установления факта отношений"
"82";"88-16846/2023";"03.08.2023";"2-673/2022";"А., строитель";"ООО СК-Гарант";"Фактический период";"По доказанной работе";"Оставлено";"ГПХ-цепочка требует проверки трудовой функции"
"83";"88-10935/2023";"27.07.2023";"2-3048/2022";"Л.Д.В., работник";"ООО Вектор Групп";"Документы и минимум";"По периоду и должности";"Оставлено";"П. 23 не заменяет доказательство сверхурочных"
"84";"88-12303/2023";"04.07.2023";"обезличено";"А., работник";"ООО ТД Г. Абель";"Минимум и период";"Минимальная база";"Оставлено";"Отсутствие локальных актов не отменяет минимум"
"85";"88-10141/2023";"18.05.2023";"обезличено";"К., работник";"ИП Ч.";"Региональный минимум";"За установленный период";"Оставлено";"Работодатель должен опровергнуть допуск и оплату"
"86";"88-7342/2023";"04.04.2023";"обезличено";"Е., специалист";"ИП О.";"Сопоставимая должность";"Статистическая база";"Оставлено";"Статистика допустима без согласованного оклада"
"87";"88-23552/2022";"15.12.2022";"2-402/2022";"К., работник";"ООО СБД";"Письменные начисления";"Договор и документы об оплате";"Оставлено";"Документы вытесняют резервный расчёт"
"88";"88-23552/2022";"15.12.2022";"2-402/2022";"К., дубль дела 87";"ООО СБД";"Дубль";"Повтор определения 88-23552/2022";"Дубль";"Дубль не искажает статистику уникальных определений"
"89";"88-20343/2022";"17.11.2022";"обезличено";"Работник";"Организация";"Минимум и период";"Минимальная база";"Оставлено";"Свидетели не заменяют письменную базу"
"90";"88-15443/2022";"23.08.2022";"обезличено";"И., работник";"Артель Горизонт";"Штатный оклад";"Оклад и индексация";"Оставлено";"Штатный оклад вытесняет резервный расчёт"
"91";"88-14224/2022";"28.07.2022";"2-1618/2021";"М., работник";"Охранное предприятие";"Начисления и периоды";"Подтверждённый доход";"Оставлено";"Фактические начисления важнее предполагаемой ставки"
"92";"88-12526/2022";"30.06.2022";"обезличено";"Р., работник";"ООО Тандем";"Помесячные начисления";"Март, апрель, июнь 2021 г.";"Оставлено";"Задолженность рассчитывается по периодам"
"93";"88-12589/2022";"30.06.2022";"2-914/2021";"Щ., работник";"ООО Востсибглобал";"Сопоставимая база и МЗП";"Минимальная и сопоставимая зарплата";"Оставлено";"Отсутствие штатной единицы не исключает оплату"
"94";"88-9003/2022";"14.06.2022";"обезличено";"Ю., работник";"ИП С.";"Минимум и вакансия";"Вакансия не признана ставкой";"Оставлено";"Вакансия не равна договору о зарплате"
"95";"88-9065/2022";"02.06.2022";"обезличено";"Ч., врач-стоматолог";"ООО Апексстом";"Минимум и период";"По доказанному периоду";"Оставлено";"Квалификация не заменяет доказательство ставки"
"96";"88-10554/2022";"26.05.2022";"обезличено";"Работник";"Работодатель";"МРОТ";"Минимальная база";"Оставлено";"Минимум допустим без соглашения о ставке"
"97";"88-7748/2022";"19.04.2022";"обезличено";"Работник";"ИП";"МРОТ и время";"За установленное время";"Оставлено";"Работодатель должен опровергнуть допуск"
"98";"88-4509/2022";"22.02.2022";"обезличено";"С., работник";"ООО";"Минимум и статистика";"Доказанная часть";"Оставлено";"Повышенные суммы требуют доказательств"
"99";"88-2112/2022";"15.02.2022";"2-6598/2021";"У., работник";"Работодатель";"Региональный минимум";"Минимальная база";"Оставлено";"МРОТ является резервом при отсутствии оплаты"
"100";"88-1081/2022";"03.02.2022";"обезличено";"Е., работник";"ООО Центр деловых коммуникаций";"Минимум и период";"За установленную работу";"Оставлено";"Отсутствие оклада не исключает минимум"
"101";"88-2980/2022";"01.02.2022";"2-215/2021";"Работник";"Организация";"МРОТ";"Региональный минимум";"Оставлено";"Прокурорский иск сохраняет иерархию расчёта"
"102";"88-1296/2022";"18.01.2022";"обезличено";"С., работник";"Организация";"Региональный минимум";"Минимальная база";"Оставлено";"Повышенная сумма требует письменной опоры"
"103";"88-815/2022";"11.01.2022";"2-3054/2020";"Водитель грузового транспорта";"Работодатель";"Статистика водителей";"74048 руб./мес. по Кемеровской области";"Оставлено";"Статистика по профессии может быть базой"
"104";"88-20127/2021";"14.12.2021";"обезличено";"С., работник";"ООО Славита";"Региональный минимум";"МЗП за подтверждённый период";"Оставлено";"МЗП восполняет отсутствие локального расчёта"
"105";"88-21701/2021";"07.12.2021";"обезличено";"Работник";"Организация";"МЗП по соглашению";"Минимальная база";"Оставлено";"МЗП применяется без согласованной ставки"
"106";"88-13971/2021";"02.09.2021";"обезличено";"Работник";"ИП";"МРОТ и фактическое время";"Доказанный период";"Оставлено";"Взыскание ограничено доказанным периодом"
"107";"88-13779/2021";"03.08.2021";"2-2586/2020";"Р., работник";"ИП К.";"МЗП Омской области";"Региональная МЗП";"Оставлено";"Региональная МЗП является резервом"
"108";"88-1141/2021";"02.02.2021";"обезличено";"Работник";"Работодатель";"Региональный минимум";"МЗП с учётом соглашения";"Оставлено";"МЗП применяется с учётом соглашения"
"109";"88-18224/2020";"17.12.2020";"2-21/2020";"К., работник";"ООО ЛПС Сервис";"Минимальная база (МРОТ)";"Заявлено 90400 руб.; согласованный размер не доказан";"Оставлено";"Нет доказательств согласованного размера — минимум; бремя на работодателе"
"110";"88-18110/2020";"01.12.2020";"обезличено";"В.С.Н., работник";"ИП Я.П.";"МЗП внебюджетного сектора (пособие)";"Пособие по нетрудоспособности после ДТП";"Отменено в части пособия, новое рассмотрение";"База пособия требует проверки региональной МЗП, а не только МРОТ"
"111";"88-16111/2020";"10.11.2020";"2-160/2020";"Т., работник";"ИП З.";"МРОТ; мотивировка абстрактна";"Заявлено 88390 руб.; апелляция взыскала 28350,40 руб.";"Отменено, новое рассмотрение";"Выводы о размере требуют мотивировки со ссылками на доказательства (ст. 59, 60 ГПК)"
"112";"88-13240/2020";"06.10.2020";"обезличено";"Б.Н.С., работник";"ООО ПП Энергия";"МРОТ";"Недоплата 264616,92 руб. за 04.2018-09.2019";"Оставлено";"Бремя оплаты на работодателе; непроверка расчёта истца — не основание отмены"
"113";"88-13241/2020";"06.10.2020";"обезличено";"Б.Л.В., работник";"ООО ПП Энергия";"МРОТ";"Недоплата 111505,26 руб.";"Оставлено";"Связанное с делом 112; та же позиция о бремени"
"114";"88-13137/2020";"15.09.2020";"2-1159/2019";"Б., работник";"ИП Ж.В.";"МРОТ при невозможности обычного вознаграждения";"МРОТ 11163 руб. за неполный сентябрь 2018";"Оставлено в остальной части";"Нет диплома автомеханика — обычное вознаграждение не установить, применён МРОТ"
"115";"88-10703/2020";"16.06.2020";"обезличено";"Багдасарян, работник";"ООО Базис +";"Справки 2-НДФЛ (106000 руб./мес)";"Заявлено 423605 руб. за 06.2018-05.2019";"Оставлено в остальной части";"2-НДФЛ, выданные для кредитов, подтверждают размер; версия о МРОТ отклонена"
"116";"88-4243/2020";"05.03.2020";"2-317/2019";"Ж., работник";"ИП М.";"МРОТ и МЗП региона";"Минимальная база и период";"Оставлено";"П. 23 обеспечивает минимальную базу"
