"№";"Определение";"Дата";"Дело N";"Истец (должность)";"Ответчик";"Способ определения размера ЗП";"Размер / база расчёта";"Итог";"Ключевой вывод по п. 23"
"14";"8Г-8753/2024(88-8581/2024)";"16.04.2024";"2-2065/2022";"администратор клининга";"ООО «Клининг-Экспертиза»";"формальный договор на 0,1 ставки (не исполнялся)";"—";"отменено полностью";"п. 23 применим к «серым» отношениям; суд обязан установить фактические условия"
"15";"88-5192/2024";"05.03.2024";"2-133/2023";"монтажники металлоконструкций";"ООО «Проектресурс»";"сдельный расчёт истцов от объёма работ";"250 000 руб.";"оставлено";"молчание работодателя = признание расчёта истцов"
"16";"88-3721/2024";"15.02.2024";"2-463/2023";"юрисконсульт";"ООО ТД «ТЕРМОПРИБОР»";"штатное расписание × 0,5 ставки";"15 000 руб./мес.";"оставлено";"п. 23 субсидиарен; оклад у другого работодателя неприменим"
"17";"88-31022/2023";"12.12.2023";"2-710/2022";"бригадир/мастер участка";"ООО «КапиталГруппСтрой»";"штатное расписание + договор другого работника";"30 000 руб.";"оставлено";"переводы презюмируются зарплатой; иное назначение — только письменно"
"18";"88-23736/2023";"10.10.2023";"2-965/2021";"«технический директор»";"ООО «Краун управление и эксплуатация»";"МРОТ без исследования штатного расписания и должности (ошибочно)";"20 361 руб.";"отменено";"МРОТ ниже штатного минимума работодателя недопустим; методический перечень обстоятельств"
"19";"88-19411/2023";"29.08.2023";"2-1418/2022";"директор кафе";"ООО «Ленинградка»";"штатное расписание (36 000) без оценки переписки о 50 000";"36 000 руб.";"отменено в части";"штатное расписание не безусловно; обязательна проверка доводов о согласованном большем размере"
"20";"без номера (обезличено)";"—";"—";"директор по продажам";"ООО ТД «РегионИнвест»";"Росстат по профгруппе (руководители в торговле)";"115 419 руб.";"оставлено";"эталон п. 23; заявленные 120 000 приняты в пределах статистики"
"21";"2-382/2022 (обезличено)";"—";"2-382/2022";"юрист первичного приёма";"ООО «Давыдов и партнеры»";"заявленный размер + рыночные сведения истца";"100 000 руб.";"оставлено";"рыночные сведения, собранные работником, допустимы наряду с Росстатом"
"22";"88-7552/2023";"06.04.2023";"—";"менеджер смены";"ООО «Сити Ресторантс»";"оформленный договор (210 руб./час)";"—";"отказ оставлен";"п. 23 против истца при оформленном договоре; перечисления сверх договора — не соглашение"
"23";"без номера";"04.04.2023";"—";"менеджер по тендерам";"ООО ТД «ПРАБО»";"письменное приглашение о работе";"50 000 руб.";"оставлено";"приглашение о работе с окладом — письменное доказательство размера"
"24";"88-1221/2023";"16.02.2023";"—";"дети погибшего промальпиниста";"ГУ-МРО ФСС РФ";"Мосстат по п. 23 (ошибочно)";"51 218 руб.";"отменено";"п. 23 не подменяет специальные нормы ФЗ-125 (п. 5, 7 ст. 12)"
"25";"88-30620/2022";"24.01.2023";"—";"супервайзер клининга";"ООО «ЭФ Пять Клининг»";"заявленный размер + Мосстат по судебному запросу";"60 000 руб.";"оставлено";"методология «заявленное + сверка с Мосстатом»; прогул 1,67 млн"
"26";"88-1250/2023";"17.01.2023";"—";"администратор стоматологии";"ООО «Стоматология Арбат»";"ставка истца, «не недобросовестно завышенная»";"3 500 руб./смена";"оставлено";"переводы с личного счёта гендиректора без назначения — не зарплата"
"27";"88-28159/2022";"06.12.2022";"—";"водитель-экспедитор";"ООО «Главторг»";"заявленный размер при пассивности работодателя";"70 000 руб./мес.";"оставлено";"база для всех производных выплат, включая утраченный заработок (ст. 184 ТК)"
"28";"88-20784/2022";"27.09.2022";"—";"начальник отдела продаж";"ООО «Кафедра» (Самара)";"штатное расписание + 2-НДФЛ + ИЛС → федеральный МРОТ";"11 500 → 12 130/12 792 руб.";"оставлено";"свидетели о размере недопустимы; МЗП по месту фактической работы доказывает работник"
"29";"88-18134/2022";"09.08.2022";"—";"бармен-кассир";"ООО «Фобос-В»";"МЗП г. Москвы по трехстороннему соглашению";"20 195–21 371 руб.";"оставлено";"МЗП применяется, даже если выше штатного оклада; п. 18 Положения № 922"
"30";"88-13700/2022";"05.07.2022";"—";"главный архитектор";"ООО «Ава-Декорстудия»";"заявленный размер + Росстат/Мосстат (новые доказательства апелляции)";"115 000 руб.";"оставлено";"неподписанный договор ничтожен; свидетели о размере недопустимы (ст. 60 ГПК)"
"31";"88-7285/2022";"31.03.2022";"—";"юрист первичного приёма";"ООО «Давыдов и партнеры»";"заявленный размер как обычное вознаграждение (статистика + вакансия)";"60 000 руб.";"оставлено";"заявленное принимается при непротиворечии статистике и косвенном подтверждении"
"32";"88-2532/2022";"24.02.2022";"—";"представитель по взысканию долгов";"МКК «Нарбон»";"средняя по виду деятельности (Тамбовстат)";"21 224–22 930 руб.";"оставлено";"обычное вознаграждение — по реальной, а не заявленной квалификации"
"33";"88-29737/2021";"21.12.2021";"—";"13 работников ИТР";"ООО «МФК Строймонтаж»";"оформленным — штатное расписание; неоформленным — МЗП Москвы";"18 742–19 351 руб.";"оставлено";"МЗП законна при неустановленном обычном вознаграждении; п. 23 для любых работодателей"
"34";"88-22702/2021";"14.10.2021";"—";"водитель-экспедитор";"ООО «Трейдинг Эквипмент Продакшн»";"не определялся (отмена)";"—";"отменено полностью";"запись в трудовой без договора ≠ оформление; 2-НДФЛ ≠ согласование размера"
"35";"88-21069/2021";"30.09.2021";"—";"юрист";"ООО «Юридические услуги 68»";"усреднённая статистика по отрасли (ошибочно)";"654 091,30 руб. (отменено)";"отменено апелляционное";"усреднённая з/п по отрасли ≠ обычное вознаграждение квалификации; согласованный размер статистикой не вытесняется"
"36";"88-23205/2021";"28.09.2021";"—";"директор по правовым вопросам";"ООО «Верба Прайвет Велт»";"Мосстат («руководители» по ОКВЭД) + вакансия";"180 000 руб. (статистика ~245 000)";"оставлено";"образец применения п. 23; апелляция правомерно истребовала статистику"
"37";"88-18009/2021";"09.09.2021";"—";"юрист";"ООО «Юридические услуги 68»";"зарплата «другого работника» (без доказанной идентичности)";"381 590,50 руб.";"оставлено";"ориентир зарплаты коллеги требует доказанной сопоставимости обязанностей"
"38";"88-17396/2021";"07.09.2021";"—";"медсестра";"ООО «Шифа»";"объяснения + вакансия superjob + статистика МП + резюме";"45 000 руб.";"оставлено";"косвенные доказательства истца при пассивности ответчика; отсутствие должности в штатном расписании не опровергает"
"39";"без номера (обезличено)";"—";"—";"прораб";"ООО СК «ПРАКТИКЪ»";"Росстат (мастера в строительстве, Москва, 2017)";"41 294 руб.";"оставлено";"эталон статистического определения; заявленные 70 000 отклонены"
"40";"88-1906/2021";"02.02.2021";"—";"юрист/эксперт";"ООО «Архипов и партнеры»";"МЗП без оценки доказательств обычного вознаграждения (ошибочно)";"66 460,76 руб. (отменено)";"отменено в части";"переход к МЗП без исследования обычного вознаграждения — основание отмены"
"41";"88-27619/2020";"14.01.2021";"—";"начальник участка";"ООО «Старт-Люкс»";"Росстат Ярославской обл. (местность = юрадрес работодателя)";"75 791 руб.";"оставлено";"география статистики — по регистрации работодателя, не по месту работы"
"42";"без номера (обезличено)";"—";"—";"продавец";"ИП (Смоленск)";"только банковские переводы без оценки наличных (ошибочно)";"—";"отменено";"п. 23 обязателен для ИП; нужна оценка наличных выплат и зарплат аналогичных работников"
"43";"—";"—";"—";"—";"—";"—";"—";"—";"технический дубликат дела 42 в исходном файле"
"44";"88-14934/2020";"16.07.2020";"—";"менеджер";"ООО «ВладПул»";"МРОТ (истец не представил ни данных, ни расчёта)";"11 280 руб.";"оставлено";"«вправе» в п. 23 — усмотрение суда; пассивность истца закрепляет МРОТ; преюдиция дела 47"
"45";"88-3281/2020";"10.06.2020";"—";"валяльщица носков (прокурорский иск)";"ИП";"собственные записи истца о выработке + расчёт + свидетель";"15 404–48 432 руб./мес.";"оставлено";"записи работника — письменное доказательство размера, даже кратно выше МЗП"
"46";"88-1213/2020";"25.02.2020";"—";"охранник";"физлицо (бывший ИП)";"зарплата других охранников того же работодателя (свидетели)";"13 000 руб.";"оставлено";"обычное вознаграждение по коллегам без статистики; статус ИП не обязателен на весь период"
"47";"без номера (обезличено)";"—";"—";"менеджер";"ООО «ВладПул» (СМП — установлен)";"МЗП/МРОТ (справка Владимирстата — без СМП, несопоставима)";"8 500 → 11 280 руб.";"оставлено";"статистика должна охватывать сегмент работодателя; статус СМП решил способ расчёта"
