"№";"Определение";"Дата";"Дело N";"Истец (должность)";"Ответчик";"Способ определения размера ЗП";"Размер / база расчёта";"Итог";"Ключевой вывод по п. 23"
"21";"88-5478/2025";"22.04.2025";"2-887/2024";"К., руководитель проектов по совместительству";"ООО СП-ЭНЕРГО";"Штатный оклад 100 000 руб. + РК; статистика 102 317 руб.; 0,5 ставки";"52 200 руб. в месяц; долг 206 712 руб.";"Акты без изменения; долг 206 712 руб.";"При совместительстве база корректируется на занятость"
"22";"88-6298/2025";"24.04.2025";"2-768/2024";"А., работник по уходу за животными";"ИП-глава КФХ Ш.В.Н.";"Статистика животноводства";"22 210–43 251 руб.; долг 227 486,90 руб.";"Апелляция без изменения";"Статистика применяется при отсутствии учета и ставки"
"23";"88-4524/2025";"10.04.2025";"2-536/2024";"К.А.Н., директор по персоналу";"ООО Юкар";"Статистика управляющих трудовыми ресурсами";"93 696–111 764 руб.; средний заработок 1 082 161,04 руб.";"Частичная отмена; новое рассмотрение";"Налоговая часть расчета среднего заработка требует исправления"
"24";"88-5308/2025";"10.04.2025";"2-3518/2024";"М., сервис-менеджер";"ООО Восток-Шина Вилс";"Подписанный договор 21 000 руб. + 15% РК";"Долг 19 951,60 руб.; статистика 25 999 руб.";"Акты без изменения";"Позднее оформление подтверждает ранее согласованную ставку"
"25";"88-4500/2025";"03.04.2025";"2-1021/2024";"П., директор";"ООО Гастроном N 4";"Штатные документы и зарплата аналогичных руководителей";"60 000 руб.; зарплата 50 045,22 руб.";"Акты без изменения";"Сопоставимые должности и локальные документы подтверждают ставку"
"26";"88-3476/2025";"20.03.2025";"2-1350/2024";"К.И.И., охранник";"ООО ЧОП АССОН-Охрана II";"Статистика охранников; требуется штатный тариф";"39 827 руб.; зарплата 47 528,64 руб.";"Апелляция отменена; новое рассмотрение";"Нужно установить систему оплаты, МРОТ и сменный режим"
"27";"88-701/2025";"28.01.2025";"2-3164/2024";"С.И., С.С., Т., Я., кровельщики и разнорабочие";"ООО Стройгид";"Статистика кровельщиков и разнорабочих";"85 701/52 058 руб.; взыскано 166 581,83/88 429,76 руб.";"Апелляция без изменения";"Профессия каждого работника учитывается отдельно"
"28";"88-22689/2024";"24.12.2024";"2-877/2024";"К., руководитель сервиса/техник";"ООО Линия 7";"Конкретные ставки 50 000 и 55 000 руб.; платежи и акты";"Отпускные 65 017,08 руб.";"Акты без изменения";"При конкретной месячной оплате статистика не требуется"
"29";"88-17277/2024";"22.10.2024";"2-334/2022";"Г., вышкомонтажник-сварщик";"ООО ЭкоДеррик";"Локальный тариф 92,68 руб./час";"Взыскано 184 752,75 руб.; статистика не применена";"Апелляция без изменения";"Локальный тариф может вытеснить статистику; учитываются вахтовые и северные выплаты"
"30";"88-17277/2024";"22.10.2024";"2-334/2022";"Г., вышкомонтажник-сварщик (повтор)";"ООО ЭкоДеррик";"Повторный фрагмент дела 29 — самостоятельного определения нет";"—";"— (фрагмент дела 29)";"Повторный заголовок того же определения 88-17277/2024; в статистику исходов не входит"
"31";"88-17649/2024";"12.11.2024";"2-1140/2023";"П., арматурщик";"ООО ГЭСМК";"Статистика арматурщиков СПб и Ленобласти — 74 442 руб.";"Взыскано 56 717,71 руб. зарплаты, 5 919,79 руб. отпускных, 5 058,92 руб. процентов";"Апелляция без изменения";"Работодатель, указавший работника в заявке на режимный объект, не может ссылаться на неподтвержденного субподрядчика"
"32";"88-22197/2024";"17.12.2024";"2-354/2024";"П., исполнительный директор";"ООО Рассвет-Пермские моторы";"База не установлена";"Требования отказаны до нового рассмотрения";"Акты отменены; новое рассмотрение";"Нельзя признать отношения гражданско-правовыми без установления договора"
"33";"88-16287/2024";"17.09.2024";"2-90/2024";"К.С., слесарь";"ИП И.А.";"Росстат по годам";"62 648–78 045 руб.; отпускные 478 578 руб.";"Апелляция без изменения";"При бессистемных выплатах статистика применяется по периодам"
"34";"88-16067/2024";"12.09.2024";"2-586/2024";"Ж., менеджер продаж";"ООО Викинг";"Статистика оптовой торговли";"Долг 960 132 руб.";"Апелляция без изменения";"Статистика допустима при подтвержденной трудовой функции"
"35";"88-16916/2024";"17.09.2024";"2-5374/2023";"Г., региональный менеджер";"ИП Ю.";"Статистика агентов коммерческих продаж";"68 291 руб.; долг 50 855,88 руб.";"Апелляция без изменения";"Учитываются выплаты и поворот исполнения"
"36";"88-16568/2024";"05.09.2024";"2-98/2024";"М., менеджер";"ООО ПК Рукавица";"Записи о выплатах + статистика менеджеров";"Средний заработок 456 270,08 руб.";"Апелляция без изменения";"Недостоверный договор уступает письменным записям"
"37";"88-14781/2024";"22.08.2024";"2-4055/2023";"С., начальник участка";"ООО Горжилстрой";"Договорная сумма 58 255,16 руб. в месяц";"Взыскано 399 940,51 руб.";"Апелляция без изменения";"Прикрывающий труд договор сохраняет значение для оплаты"
"38";"88-13345/2024";"08.08.2024";"2-1553/2023";"К., сторож";"ООО Техгазресурс";"Статистика сторожей 21 709 руб.";"Долг 108 545 руб.";"Апелляция без изменения";"Табель и показания подтверждают трудовые отношения"
"39";"88-13149/2024";"30.07.2024";"2-4383/2023";"В.О., менеджер";"ООО Принт";"Статистика специалистов по сбыту 50 144 руб.";"Долг 100 228 руб.; отпускные 51 807,10 руб.";"Апелляция без изменения";"Несогласованный низкий штатный оклад уступает статистике"
"40";"88-10751/2024";"01.08.2024";"2-1126/2023";"З., капитан-механик";"АО Северречфлот";"Штатные тарифы 9 202, 6 827, 10 106 руб.";"Средний заработок 208 884,16 руб.; премии взысканы";"Акты без изменения";"Достоверная локальная система оплаты вытесняет статистику"
"41";"88-10376/2024";"18.06.2024";"2-442/2023";"Р., технический директор";"ООО Леддел-Холод; ООО Леддел-Сервис";"МРОТ, статистика 57 392 руб. и фактические выплаты";"Расчет требует нового определения";"Денежная часть отменена; новое рассмотрение";"Сначала оцениваются выплаты по каждому работодателю"
"42";"88-11348/2024";"27.06.2024";"2-3978/2023";"Р., монтажник";"ООО Арт Сети";"Статистика монтажников 47 146 руб.; заявлено 25 000 руб.";"Зарплата 25 000 руб. с РК";"Апелляция без изменения";"Статистика допустима при неподходящем по периоду штатном документе"
"43";"88-12823/2024";"25.06.2024";"2-1-793/2023";"И., фрезеровщик";"ИП Г.";"Статистика 58 027 руб. до договора; после договора МРОТ";"Долг 23 585,47 руб.; отпускные 7 820,13 руб.";"Акты без изменения";"Для неоформленного периода применяется статистика"
"44";"88-10269/2024";"06.06.2024";"2-587/2023";"П., риелтор";"ИП З.С.";"Статистика агентов 35 997–41 110 руб.";"Долг 26 160,91 руб.; моральный вред 25 000 руб.";"Апелляция без изменения";"Самозанятость не исключает трудовые отношения"
"11";"88-36/2026";"22.01.2026";"2-73/2025";"С.А.АА., бригадир кровельщиков";"ИП К.В.";"Статистика мастеров строительных работ";"59 873–87 898 руб.; выплачено 830 354 руб.";"Частичная отмена; новое рассмотрение";"Нужно установить характер отношений, период и учесть переписку о подряде"
"12";"88-405/2026";"20.01.2026";"2-86/2025";"Ч.Э., заместитель директора";"АНО Надымская промышленная медицина";"Вознаграждение по ГПД + спорные северные выплаты";"114 943 руб.; взыскано 2 663 250,50 руб. до отмены";"Денежная часть отменена; новое рассмотрение";"ГПД-вознаграждение нельзя автоматически увеличить коэффициентами"
"13";"88-16151/2025";"09.12.2025";"2-1363/2025";"Х., инженер";"ООО Запсибэнерго";"Договорный оклад, премии, аренда автомобиля";"Оклад 21 000 руб.; заявлено 60 000 руб.";"Акты отменены; новое рассмотрение";"Нужно исследовать фактические премии и правовую природу аренды"
"14";"88-16637/2025";"20.11.2025";"2-1285/2025";"С., ведущий инженер";"ООО Запсибэнерго";"Оклад 22 000 руб., премии, аренда автомобиля";"Оклад 22 000 руб.; заявлено 77 000 руб.";"Акты отменены; новое рассмотрение";"Невыплата премий требует проверки порядка премирования и дискриминации"
"15";"88-14684/2025";"11.11.2025";"2-4357/2023";"С., руководитель техподдержки";"ИП Е.";"Статистика ИКТ + регулярные платежи";"Около 20 000 руб.; долг 180 747,45 руб.";"Апелляция без изменения";"Платежи с назначением зарплаты и корпоративный контроль подтверждают трудовые отношения"
"16";"88-3241/2025";"06.11.2025";"2-1104/2024";"А., кладовщик по совместительству";"ООО ИНКОР";"Статистика кладовщика с учетом совместительства";"51 268 руб.; взыскано 246 093,05 руб.";"Апелляция без изменения";"При отсутствии учета статистика корректируется на фактическое время"
"17";"88-13924/2025";"21.10.2025";"2-80/2025";"М.К., специалист по продажам";"ООО АктивСантехПром";"Статистика и объяснения работника";"40 000 руб. после НДФЛ; средний заработок 674 285,04 руб.";"Апелляция без изменения";"Фактический допуск важнее отсутствия вакансии и приказа"
"18";"88-12071/2025";"18.09.2025";"2-593/2024";"О.А., бариста";"ИП Г.";"Ставка не установлена; выплаты 56 207,96 руб.; требуется исследование";"Заявлено 25 000–30 000 руб. и 156 сверхурочных часов";"Акты отменены; новое рассмотрение";"Нельзя отказать без оценки графика, чеков, переписки и учета времени"
"19";"88-11619/2025";"28.08.2025";"2-3747/2024";"З., начальник монтажных работ";"ИП К.А.";"Договор 250 000 руб. сопоставлен со статистикой 166 003,80 руб.";"Зарплатный долг отсутствует; отпускные 99 402,69 руб.";"Апелляция без изменения";"Общая договорная сумма выше статистики не становится окладом для коэффициента"
"20";"88-7273/2025";"20.05.2025";"2-1089/2024";"Б., заместитель директора по безопасности";"ООО НПО Проммашэлектро";"Статистика + доказанные оклады 65 000 и 120 000 руб.";"Долг 63 307,69 руб.; первоначальное взыскание повернуто";"Апелляция без изменения";"Статистика сочетается с конкретными окладами, но не с зарплатой другого работника"
"45";"88-10175/2024";"11.06.2024";"2-972/2023";"С.Е.Ю., мастер в строительстве";"ООО ЮГРАЭНЕРГО";"Статистика мастера в строительстве";"58 381 руб. в месяц; взыскано 135 337,76 руб.";"Апелляция без изменения";"Сначала устанавливаются период и функция, затем применяется сопоставимая статистика"
"46";"88-8297/2024";"14.05.2024";"2-1068/2023";"Д., вахтовый работник";"ООО СК Аванстрой";"Тариф 80 руб. оспорен; система оплаты и график не исследованы";"Оплата обсервации 16 605,12 руб.; остальные суммы требуют проверки";"Апелляция отменена; новое рассмотрение";"Нельзя отклонить обычное вознаграждение без проверки дефектного договора и фактического времени"
"47";"88-8733/2024";"21.05.2024";"2-2942/2023";"Д., заместитель директора по капитальному строительству";"ООО Виал Групп";"Статистика Пермского края по сопоставимой должности";"Взысканы зарплата и производные выплаты; первоначально 1 572 045 руб. зарплаты";"Акты без изменения";"При отсутствии допустимого оклада статистика применяется с вычетом доказанных выплат"
"48";"88-9424/2024";"04.06.2024";"2-1948/2023";"К.А., продавец-консультант";"ИП Э.";"Статистика продавцов магазинов";"39 747 руб. в месяц; взыскано 30 494,41 руб.";"Апелляция без изменения";"При отсутствии письменной ставки допустима статистика по профессии"
"49";"88-9409/2024";"27.05.2024";"2-3354/2022";"З.В.Н., начальник юридического отдела";"ООО Строительный комплекс";"Статистика руководителей подразделений";"79 848 руб.; заработок 1 520 038,66 руб.";"Апелляция без изменения";"Статистика может определить заработок при незаконном отказе в приёме и отсутствии штатного оклада"
"50";"88-7541/2024";"06.05.2024";"2-737/2023";"А., слесарь, затем мастер-приёмщик";"ИП М.";"Статистика сопоставимых работников; сдельная ставка не доказана";"Взыскано 156 994,65 руб. с удержанием НДФЛ";"Апелляция без изменения";"При споре о допуске и сдельной оплате оцениваются наряды, переписка и фактическая работа"
"51";"88-8505/2024";"16.05.2024";"2-5979/2023";"Щ.А., главный юрист";"ООО Лира";"112 608 руб. в месяц, не выше статистики юристов";"Денежная часть требует нового расчёта с учётом платежей";"Денежная часть отменена; новое рассмотрение";"Статистика не заменяет анализа природы платежей по услугам, займам и зарплате"
"52";"88-6700/2024";"16.04.2024";"2-1705/2023";"С., механик-слесарь по совмещению";"ООО ТракСервисЦентр";"Оклад 12 500 руб.; доплата не доказана";"Размер доплаты за совмещение не установлен";"Акты без изменения; в доплате отказано";"Обычное вознаграждение за совмещение требует связи с конкретной выполненной работой"
"53";"88-5901/2024";"28.03.2024";"2-686/2022";"З., электрогазосварщик";"А.М.ЧА.";"Тюменьстат по группе сварщиков и газорезчиков";"90 302 руб. в месяц; взыскано 114 478,42 руб.";"Апелляция без изменения";"Статистика заменяет недоказанный устный тариф, выплаты вычитаются"
"54";"88-5890/2024";"14.03.2024";"2-1333/2023";"А., генеральный директор";"Учреждение им. М.А. Лиходея";"204 000 руб.; статистика руководителей учреждений 442 492 руб.";"Взысканы 199 609,14 руб. зарплаты и выплаты при увольнении";"Акты без изменения";"П. 23 применён и к учреждению при отсутствии надёжного письменного оклада"
"55";"88-4650/2024";"05.03.2024";"2-967/2023";"К., менеджер по продажам";"ИП П.";"Договорное вознаграждение за сделку";"50 000 руб.";"Акты без изменения";"При доказанной сделке взыскивается согласованное вознаграждение, а не статистика"
"56";"88-3766/2024";"27.02.2024";"2-2883/2023";"Е., директор";"ООО ТТК Гелиос";"Фактически начисленная зарплата по 2-НДФЛ";"86 250 руб. в месяц; статистика 151 321 руб.";"Апелляция без изменения";"Письменные сведения о начислениях имеют приоритет перед статистическим ориентиром"
"57";"88-3540/2024";"28.02.2024";"2-1664/2022";"С.В., Ш., В.А., штукатуры-маляры";"ООО Уралспецэнерго 2000";"Обычное вознаграждение строительных работников";"Размер определён за период фактического допуска; выплат не было";"Акты без изменения";"При фактическом допуске и отсутствии выплат зарплата определяется по обычному вознаграждению"
"58";"88-3542/2024";"28.02.2024";"2-1425/2023";"Ю., сварщик";"ИП Т.";"354 руб. в час и данные о средней зарплате сварщиков; требуется проверка";"Окончательный размер требует нового расчёта";"Частичная отмена; новое апелляционное рассмотрение";"Статистику нужно сопоставить с тарифом, вахтовым режимом и компенсациями"
"59";"88-3740/2024";"21.02.2024";"2-1120/2023";"Щ.П., менеджер по электронным торгам";"ИП Щ.Д.";"Согласованные ставки";"55 000 и 34 500 руб. в месяц";"Акты без изменения";"При доказанном соглашении о ставке запасной статистический способ не применяется"
"60";"88-1940/2024";"20.02.2024";"2-2086/2023";"К., ведущий юрисконсульт";"АО Облкоммунэнерго";"Договорное вознаграждение и штатные ставки";"51 750 руб.; взыскано 67 476,88 руб. зарплаты";"Акты без изменения";"Сопоставляются договор, штатное расписание и фактические выплаты"
"61";"88-313/2024";"15.02.2024";"2-28/2023";"М., коммерческий директор";"ООО ПК Предприятие Круг";"80 000 руб. в месяц и статистика; спорные расписки";"1 817 000 руб. направлены на новый расчёт";"Частичная отмена; новое апелляционное рассмотрение";"Расписки без назначения платежа не подтверждают выплату зарплаты автоматически"
"62";"88-1448/2024";"23.01.2024";"2-334/2022";"Г., вышкомонтажник-сварщик";"ООО ЭкоДеррик";"Тариф 4 111,67 руб. в сутки; штатные ставки и вахтовые выплаты требуют оценки";"Окончательный размер не определён";"Апелляция отменена; новое рассмотрение";"Штатное расписание может иметь приоритет перед статистикой как письменное доказательство"
"63";"88-1893/2024";"30.01.2024";"2-3000/2023";"Л., Б., агенты по коммерческим продажам";"ООО КБ Ренессанс Кредит";"Выплаты по договорам услуг; средний заработок по ст. 139 ТК РФ";"Средний заработок требует нового расчёта";"Частичная отмена; новое рассмотрение";"П. 23 не заменяет правила расчёта среднего заработка по фактическим начислениям"
"64";"88-1291/2024";"18.01.2024";"2-823/2023";"С.Д.А., кровельщик";"ООО Универсалсервис - ЕК";"База заработка для страховых начислений";"115 000 руб. за период работы";"Акты без изменения";"При переквалификации подряда установленная база оплаты используется для страховых начислений"
"65";"88-350/2024";"10.01.2024";"2-284/2023";"Д., мастер цеха";"ООО Латофлекс";"МРОТ";"13 890 руб.; взыскано 13 340 руб. за доказанный период";"Акты в основной части без изменения";"МРОТ используется как нижняя база после установления реально доказанного периода труда"
"66";"88-933/2024";"17.01.2024";"2-508/2023";"К.В., охранник";"ООО ЧОП Бастион";"Штатная ставка и расчёт по сменам";"Оклад около 12 000 руб.; зарплата 318 171,18 руб.; отпускные 48 870,27 руб.";"Апелляция без изменения";"Штатная ставка сопоставляется с фактическими сменами и недопуском"
"67";"88-19709/2023";"14.11.2023";"2-91/2023";"В., врач-терапевт";"ООО ККМ Клиницист";"Средняя зарплата врача-терапевта в Пермском крае";"Оплата простоя 457 530 руб.";"Акты без изменения";"Статистика по профессии может использоваться для оплаты простоя при отсутствии ставки"
"68";"88-20778/2023";"04.12.2023";"2-70/2023";"П.Ж., лепщица пельменей";"ИП К.";"Заявлено 30 000-40 000 руб.; обычная оплата требует оценки";"Размер зарплаты и связанные требования пересмотрены в отмененной части";"Частичная отмена; новое рассмотрение";"Размер зарплаты и производственная травма требуют раздельного доказывания"
"69";"88-19989/2023";"30.11.2023";"2-3354/2022";"З., начальник юридического отдела";"ООО Строительный комплекс";"Статистика руководителей подразделений";"79 848 руб. в месяц; денежная часть требует нового расчёта";"Денежная часть отменена; новое рассмотрение";"Сопоставимая статистика допустима, но итоговый средний заработок надо пересчитать"
"70";"88-19135/2023";"24.11.2023";"2-237/2023";"О., монтажник";"ООО СПАС";"Фактически отработанные часы";"216 часов в июне и 180 в июле 2022 года";"Акты без изменения";"При наличии табелей и условий договора расчёт ведётся по фактическому времени"
"71";"88-20090/2023";"14.11.2023";"2-2192/2022";"Ш., подсобный рабочий";"ООО ГИРС";"Обычное вознаграждение подсобного рабочего";"Расчёт за период 05.04-28.06.2021";"Акты без изменения";"Краткий фактический период работы также даёт право на расчёт оплаты"
"72";"88-19635/2023";"16.11.2023";"2-308/2023";"К., бухгалтер";"ИП П.Е.";"Оклад 15 000 руб. плюс районный коэффициент; премия не доказана";"Взысканы 63 250 руб. и 44 354,31 руб.";"Акты в неизмененной части без изменения";"Штатный оклад и положение о премировании ограничивают статистический ориентир"
"73";"88-19720/2023";"15.11.2023";"2-159/2023";"Р., водитель-экспедитор";"ООО АБС";"Договор и фактические выплаты";"Задолженность за июнь-июль 2022 года";"Акты без изменения";"П. 23 не позволяет игнорировать договор и доказанные перечисления"
"74";"88-17297/2023";"24.10.2023";"2-1326/2023";"Х., декоратор";"ИП А.";"Согласованная оплата 100 000 руб.; справка Пермьстата 42 830 руб. не принята";"Взыскано 327 272 руб. зарплаты";"Акты без изменения";"Статистическая справка должна быть относимой и допустимой"
"75";"88-15272/2023";"05.09.2023";"2-555/2022";"М., отделочник";"ООО ВИАЛ групп";"Статистика Росстата по Пермскому краю и сдельные объёмы";"Расчёт за доказанные периоды с учётом уральского коэффициента";"Акты без изменения";"Статистика применяется за доказанный период с учётом сдельной системы"
"76";"88-15335/2023";"05.09.2023";"2-553/2022";"Ф.А.В., электрик";"ООО ВИАЛ групп";"Среднее вознаграждение электрика, сдельная оплата и уральский коэффициент";"Расчёт по профессии и подтверждённым объёмам";"Акты без изменения";"При отсутствии расценок статистика помогает восстановить размер сдельной оплаты"
"77";"88-16031/2023";"14.09.2023";"2-376/2023";"П.М., разнорабочий";"ИП М.";"Обещано 50 000 руб. в месяц; расчёт за три дня";"Взыскано 7 500 руб.";"Акты в неизмененной части без изменения";"Короткий период фактического труда оплачивается соразмерно установленному времени"
"78";"88-15061/2023";"14.09.2023";"2-509/2022";"П., монтажник вентиляции";"ООО ВИАЛ групп";"Статистика по специальности и сдельные расценки";"Расчёт по средней оплате профессии и объёмам";"Акты без изменения";"При отсутствии документов о расценках допустим расчёт по средней оплате профессии"
"79";"88-15064/2023";"14.09.2023";"2-540/2022";"П.Н., электрик";"ООО ВИАЛ групп";"Статистика по профессии, сдельные объёмы и уральский коэффициент";"Расчёт по доказанным периодам и объёмам";"Акты без изменения";"Фактический допуск и объёмы важнее ссылки на отсутствие договора"
"80";"88-15652/2023";"12.09.2023";"2-235/2022";"З.В., работник";"ООО РВК Холдинг; ООО ТД РВК Холдинг";"60 000 руб. в месяц и средний заработок по ст. 139 ТК РФ";"Расчёт среднего заработка за вынужденный прогул";"Акты без изменения";"Обычная зарплата служит базой, а средний заработок за прогул считается отдельно"
"81";"88-13555/2023";"24.08.2023";"2-1113/2022";"П., сварщик ПЭТ";"ООО Сфера";"Статистика Росстата по группе сварщиков";"Выплаты 476 284 руб. учтены при расчёте";"Акты в неотмененной части без изменения";"Из статистического расчёта вычитаются доказанные выплаты, устный тариф требует подтверждения"
"82";"88-14894/2023";"22.08.2023";"2-107/2023";"Р., руководитель проекта";"ООО ТЕГ";"Статистика и фактическая функция; штатная ставка 25 000 руб.";"Расчёт зарплаты, суточных и компенсаций по апелляции";"Апелляция без изменения";"При отсутствии согласованного оклада сопоставимая статистика может превалировать над штатным фондом"
"83";"88-15580/2023";"23.08.2023";"2-551/2022";"Ф., электрик";"ООО ВИАЛ групп";"Статистика Пермского края, сметы и сдельные объёмы";"Расчёт по индивидуальным периодам и объёмам";"Акты без изменения";"В коллективном споре расчёт сохраняет связь с профессией и индивидуальным объёмом"
"84";"88-15537/2023";"23.08.2023";"2-548/2022";"Щ.С., работник на ремонте магазинов";"ООО ВИАЛ групп";"Статистика, сметы, сдельная оплата и фактические объёмы";"Расчёт по доказанному периоду и профессии";"Акты без изменения";"Для сдельной работы статистика применяется вместе с доказательствами периода и объёма"
"85";"88-13953/2023";"22.08.2023";"2-1664/2022";"С.В., Ш., В.А., штукатуры-маляры";"ООО Уралспецэнерго 2000";"Размер требует проверки; фактический работодатель и выплаты не установлены";"Окончательный размер не определён";"Апелляция отменена; новое рассмотрение";"До применения статистики нужно определить фактического работодателя и все выплаты"
"86";"88-12687/2023";"25.07.2023";"2-5638/2022";"К., спор о содержании супруга";"Отделение Фонда пенсионного и социального страхования по Свердловской области";"Зарплата супруга 35 000 руб. оценена вместе с пенсией 17 812,74 руб.";"Доход оценён при установлении иждивения";"Акты без изменения";"Размер зарплаты из другого дела не имеет автоматической преюдициальной силы"
"87";"88-12557/2023";"25.07.2023";"2-68/2023";"Ц., промышленный альпинист";"ИП А.";"80 000 руб. в месяц; справки ТПП и обычная оплата монтажника";"Расчёт за период 25.11-25.12.2021";"Акты без изменения";"Устная ставка может быть принята при подтверждении объективными данными"
"88";"88-12445/2023";"20.07.2023";"2-266/2023";"Л., работник цеха";"ИП М.";"Обычное вознаграждение за вычетом выплат";"Выплаты 11 000 и 17 500 руб. учтены";"Акты без изменения";"Фактически выплаченные суммы вычитаются из рассчитанного вознаграждения"
"89";"88-12605/2023";"13.07.2023";"2-19/2023";"О., Л., промышленные альпинисты";"ИП А.А.";"80 000 руб. каждому за установленный период";"Взыскано по 80 000 руб. каждому";"Акты без изменения";"Согласованный размер принимается при подтверждении квалификацией, свидетелями и объектами"
"90";"88-11683/2023";"18.07.2023";"2-2236/2022";"Ш., коммерческий директор и менеджер";"ООО СтальМастерПермь; ИП К.Н.";"Обычное вознаграждение отдельно по двум функциям и периодам";"Расчёт по доказанным периодам";"Акты без изменения";"При работе у двух работодателей оплата определяется раздельно по каждой функции"
"91";"88-11570/2023";"11.07.2023";"2-847/2022";"К., управляющий";"ИП И.А.ФА.";"Обычное вознаграждение управляющего";"Расчёт за доказанный период";"Апелляция без изменения";"Размер зависит от доказанного периода и реальной функции, а не только от названия должности"
"92";"88-11055/2023";"04.07.2023";"2-7328/2021";"К., работник";"ООО Кургантехстрой";"Статистика Свердловской и Курганской областей; требуется сопоставление";"Размер требует мотивированной оценки статистики и выплат";"Апелляция без изменения";"Статистику нельзя применять механически без объяснения сопоставимости группы и региона"
"93";"88-10614/2023";"22.06.2023";"2-2117/2022";"К.Н., менеджер";"ООО ГУТЭ ВЭТЭР УРАЛ";"Статистика и материалы о работе; денежный расчёт требует проверки";"Зарплата, проценты и отпускные направлены на новый расчёт";"Денежная часть отменена; новое апелляционное рассмотрение";"Установление отношений не заменяет отдельную проверку базы и арифметики взыскания"
"94";"88-11007/2023";"20.06.2023";"2-3776/2022";"Щ., главный юрист";"ООО Лира";"Статистика и платежи по договорам услуг";"Денежная часть требует нового исследования";"Денежная часть отменена; новое рассмотрение";"При смешении трудовых и гражданско-правовых платежей нужно анализировать каждое перечисление"
"95";"88-9766/2023";"15.06.2023";"2-539/2022";"В., мастер строительно-монтажных работ";"ООО ВИАЛ групп";"Статистика по строительной специальности и сдельные объёмы";"Окончательный расчёт не определён";"Акты отменены; новое рассмотрение";"Статистика применима только после установления периода, профессии и объёма работ"
"96";"88-9203/2023";"08.06.2023";"2-4647/2022";"М.С.П., машинист автокрана";"ООО ТТК Югра";"Письменный тариф; МРОТ не заменяет договор";"Период декабрь 2020-06.01.2021 требует нового расчёта";"Частичная отмена; новое рассмотрение";"При договоре сначала устанавливаются тариф, смены и фактическая занятость"
"97";"88-8981/2023";"08.06.2023";"2-556/2022";"Ш.Д., монтажник вентиляции";"ООО ВИАЛ групп";"Статистика по специальности и фактические работы";"Взыскано 174 371,94 руб.";"Акты без изменения";"Статистика допустима при подтверждённых работах и отсутствии иного оклада"
