"№";"Определение";"Дата";"Дело N";"Истец (должность)";"Ответчик";"Способ определения размера ЗП";"Размер / база расчёта";"Итог";"Ключевой вывод по п. 23"
"11";"88-1186/2025";"13.02.2025";"2-1857/2023";"моторист-рулевой теплохода";"ИП Б.";"апелляция — МЗП 32 484 руб., кассация: неверно";"МЗП 32 484 руб.";"отменено в денежной части";"МЗП без исследования обычного вознаграждения — неприменение п. 23, основание отмены"
"12";"88-181/2025";"16.01.2025";"2-1110/2024";"рыбаки прибрежного лова";"ИП Б.Я.";"средний заработок в рыболовстве по Камчатскому краю";"отраслевая статистика";"оставлено без изменения";"Статистика по отрасли региона — надлежащее обычное вознаграждение при молчании работодателя"
"13";"88-3297/2024";"25.04.2024";"2-2892/2023";"работник (должность изъята)";"ООО «Полюс-72»";"статсведения по профгруппе РС(Я) + доп. экспертиза";"статистика профгруппы";"оставлено без изменения";"Правомерна замена МРОТ статистикой; суд не связан заниженным расчётом работника"
"14";"88-2705/2024";"04.04.2024";"2-2341/2023";"работник рыбозавода";"ООО «РУСКОР» (микропредприятие)";"Сахалинстат: группа «рабочие отделочники»";"68 239 руб.";"оставлено без изменения";"При отсутствии статистики по должности — укрупнённая группа ОКЗ; МРОТ неправомерен"
"15";"88-525/2024";"25.01.2024";"2-2141/2023";"главный бухгалтер (0,5 ставки)";"ООО «Омега Трейд» и ООО «ДВ Интерпак» (микропредприятия)";"объявление о вакансии";"85 000 руб. совокупно";"оставлено без изменения";"Обычное вознаграждение — из объявления работодателя; статистика «всех организаций» к СМП неприменима"
"16";"88-12/2024";"25.01.2024";"2-719/2023";"водитель";"ООО «Армада ДВ»";"статистика по ОКВЭД «аренда и лизинг автотранспорта»";"статистика по виду деятельности";"оставлено без изменения";"Допустимо обычное вознаграждение по виду деятельности работодателя; взыскано в пределах статистики"
"17";"88-10819/2023";"30.11.2023";"2-200/2022";"продавец магазина";"ИП С.В.";"статистика по ОКВЭД «розничная торговля»";"статистика по виду деятельности";"отменено (зарплата, моральный вред)";"Размер по статистике верен, но давность — по каждому платежу, не с даты установления факта"
"18";"88-5671/2023";"10.08.2023";"2-9741/2022";"заведующая магазином";"ИП М.А.";"статистика 91 098 руб. / 2 (совместительство)";"45 549 руб.";"оставлено без изменения";"Обычное вознаграждение корректируется пропорционально при внешнем совместительстве"
"19";"88-4109/2023";"11.05.2023";"2-1063/2022";"экскаваторщик (ГПХ-договор)";"ООО «Золотой регион»";"не установлен; указано исследовать обычное вознаграждение";"—";"отменено, на новое рассмотрение";"Отказ в зарплате без установления обычного вознаграждения экскаваторщика нарушает п. 23"
"20";"88-4011/2023";"27.04.2023";"2-809/2022";"прораб/бригадир";"ИП Т.Г.А.";"Сахалинстат: группа 312 «мастера/бригадиры»";"108 317,80 руб.";"оставлено без изменения";"Средняя зарплата по малой группе занятий — надлежащее обычное вознаграждение для ИП"
"21";"88-629/2023";"16.02.2023";"2-1918/2022";"директор магазинов";"ИП М.";"средняя зарплата руководителей в торговле по Хабаровскстату";"79 303 руб.";"оставлено без изменения";"Устная договорённость размер не подтверждает; статданные с зачётом выплаченного"
"22";"88-320/2023";"26.01.2023";"2-505/2022";"механик";"ООО «СпецТех-ДВ»";"апелляция — штатное расписание; кассация признала ошибкой";"—";"отменено в части зарплаты";"Нельзя брать только штатное расписание; бремя на работодателе, нужно обычное вознаграждение"
"23";"88-11341/2022";"08.12.2022";"2-525/2022";"специалист по производству";"ИП П.";"штатное расписание ИП (подтверждено РКО)";"оклад 14 375 руб. + РК/ДВ";"оставлено без изменения";"Штатное расписание допустимо, если исследовано и подтверждено расходными ордерами"
"24";"88-11341/2022";"08.12.2022";"2-525/2022";"дубль дела 23";"—";"—";"—";"—";"Дословное повторение дела 23 в массиве источника"
"25";"88-3523/2022";"26.05.2022";"2-432/2020";"сторож (совместительство)";"ООО «ТМО N 30»";"МЗП Сахалинской области с РК/северными";"МЗП + РК/СН";"оставлено без изменения";"Отраслевое соглашение не вытесняет МЗП по ст. 133.1 ТК"
"26";"88-3117/2022";"07.04.2022";"2-2492/2021";"начальник стройучастка";"ООО «Сигма Капитал» (СМП)";"статданные как ориентир; взыскано по окладу";"45 000 руб.";"оставлено без изменения";"При противоречивых договорах — статистика плюс пределы исковых требований"
"27";"88-1871/2022";"31.03.2022";"2-24/2021";"охранник стройплощадки";"ООО «Восток-МГК»";"МЗП Сахалинской области с РК/надбавками";"МЗП + РК/СН";"оставлено без изменения";"МЗП субъекта при отсутствии письменных доказательств соответствует п. 23"
"28";"88-6984/2021";"28.10.2021";"28RS0004-01-2020-011271-67";"продавец-консультант";"ИП О.";"средний заработок по ст. 139 ТК, Положение N 922";"средний заработок";"оставлено без изменения";"П. 23 в связке с расчётом среднего заработка; расписка сокращает период"
"29";"88-6366/2021";"21.10.2021";"2-1636/2020";"инженер по снабжению";"ООО «ЮгСтрой»";"МЗП Камчатского края (региональное соглашение)";"МЗП субъекта";"оставлено без изменения";"Сдельные расценки не установлены — взыскание из региональной МЗП"
"30";"88-4662/2021";"24.06.2021";"обезличено";"специалист по закупкам";"ООО «ИТК Технология»";"обычное вознаграждение по ответу Приморскстата";"36 521 руб.";"оставлено без изменения";"Письменных доказательств нет — зарплата из обычного вознаграждения по судебному запросу"
"31";"88-4480/2021";"03.06.2021";"обезличено";"зам. директора/газоэлектросварщик";"ООО «Фирма ГИК»";"МРОТ + районный коэффициент и надбавка РКС";"28 200 руб.";"оставлено без изменения";"Справки сторонних организаций не доказывают обычное вознаграждение; МРОТ с надбавками"
"32";"88-691/2021";"25.02.2021";"обезличено";"штукатур-маляр";"ООО «Альтаир» (соответчик)";"МРОТ + районный коэффициент 20 % и надбавка 30 %";"16 920 руб.";"оставлено без изменения";"При неоформленных отношениях без письменных доказательств — МРОТ с надбавками"
"33";"88-8106/2020";"24.12.2020";"обезличено";"Б., технолог";"ООО «Морал»";"средняя ЗП технолога по сведениям Приморскстата";"статистика профгруппы";"оставлено без изменения";"Свидетели недопустимы (ст. 60 ГПК); статистика вместо штатки ниже МРОТ"
"34";"88-7681/2020";"05.11.2020";"обезличено";"Г., заместитель директора";"ООО «Чистотел-Плюс»";"ЗП по соглашению сторон";"25 000 руб.";"оставлено без изменения";"П. 23 справочно; МЗП отклонена — размер согласован"
"35";"8Г-5368/2020";"06.08.2020";"обезличено";"К., водитель SCANIA";"ИП Ц.";"признанный ответчиком размер";"4 000 руб./смена";"оставлено без изменения";"Признание размера ответчиком заменяет письменные доказательства"
"36";"88-3292/2020";"23.04.2020";"обезличено";"Ж., логист";"ООО «Эверест-Строй»";"обычное вознаграждение по справке Росстата";"41 774 руб.";"оставлено без изменения";"Классическое п. 23; зачёт переплаты незаконен (ст. 137 ТК)"
