"№";"Определение";"Дата";"Дело N";"Истец (должность)";"Ответчик";"Способ определения размера ЗП";"Размер / база расчёта";"Итог";"Ключевой вывод по п. 23"
"11";"88-20750/2025";"24.11.2025";"2-845/2024 (заход 2)";"специалист по МТС / директор по снабжению";"ООО ""ТрэкСервис""";"МЗП субъекта (статистика отсутствует)";"МЗП Новгородской обл.";"оставлено, в иске отказано";"П. 23 применим к ООО; платежи сверх МЗП — не задолженность"
"12";"88-17312/2025";"22.09.2025";"2-2283/2024";"юрисконсульт (совместительство)";"ООО ""ПетроЗемПроект""";"оклад по штатному расписанию × 0,5 ставки";"штатное расписание работодателя";"оставлено без изменения";"Штатное расписание работодателя — заменитель обычного вознаграждения; совместительство уменьшает размер"
"13";"88-14524/2025";"13.08.2025";"2-792/2024 (заход 2)";"водитель зимника";"ИП В.П. и ИП В.В.А.";"не определён; предписано п. 23 + ДВУ + ст. 146 ТК";"ДВУ 25 100 руб.";"апелляция отменена, новое рассмотрение";"Апелляция обязана применить п. 23 с северными гарантиями; неустановление — основание отмены"
"14";"88-8822/2025";"09.06.2025";"2-2194/2024";"камнетёсы (2 истца)";"ИП Р.Р.";"средняя по родственным профессиям (отменено)";"не определён";"апелляция отменена, новое рассмотрение";"Средняя по профессиям без установления функции и режима недопустима; вакансия hh.ru подлежит оценке"
"15";"88-9726/2025";"04.06.2025";"2-845/2024 (заход 1)";"специалист по МТС";"ООО ""ТрэкСервис""";"не определён; предписано обычное вознаграждение/МЗП";"не определён";"апелляция отменена, новое рассмотрение";"Зарплату определяет не назначение платежа в платёжке, а методика п. 23"
"16";"88-9372/2025";"04.06.2025";"2-57/2024";"водитель-экспедитор (2 недели)";"ИП С.Д.";"МРОТ + районный коэффициент пропорционально дням";"МРОТ с РК, за вычетом авансов";"оставлено без изменения";"Краткосрочная работа: МРОТ с коэффициентом пропорционально отработанным дням"
"17";"88-8892/2025";"14.05.2025";"2-212/2024";"монтажник лесов (погиб)";"ООО ""ДСП-Строй""";"размер не определялся (не заявлялся)";"—";"отменено полностью, в первую инстанцию";"Пп. 17–23 Пленума № 15 как блок: формальный отказ без исследования фактических отношений недопустим"
"18";"88-7804/2025";"12.05.2025";"2-1186/2024";"руководитель филиала/направления (самозанятый)";"ООО ""Регион Строй Сервис""";"МЗП субъекта (нет статистики по должности)";"МЗП Мурманской обл.; выплачено 960 тыс. > 806 тыс.";"оставлено; во взыскании отказано";"Выплаченное выше МЗП-минимума — задолженности нет; НПД не исключает трудовые отношения"
"19";"88-8010/2025";"24.04.2025";"2-1646/2024 (заход 3)";"продавец-кассир";"ИП К.";"МЗП субъекта минус выплаченное";"МЗП Ленобласти минус 8 000 руб.";"оставлено без изменения";"Статистика средней зарплаты не охватывает СМП — для ИП п. 23 ведёт прямо к МЗП"
"20";"88-4571/2025";"26.03.2025";"2-1375/2024";"продавец/стажёр пекарни";"ИП (обезличено)";"МРОТ × РК 1,6 без северной надбавки";"МРОТ × 1,6, минус аванс";"оставлено (апелляция снизила)";"Северная надбавка на минимум — только при заработанном стаже; районный коэффициент — всегда"
"21";"88-3815/2025";"24.02.2025";"2-1297/2024";"редактор соцсетей";"ИП Г.Р.Е. (Мурманск)";"фактические выплаты по банковским справкам";"по платёжным документам";"оставлено без изменения";"П. 23 декларативно; при доказанных выплатах — расчёт из них, контррасчёта нет"
"22";"88-629/2025";"20.01.2025";"2-2733/2024";"автомаляр";"ИП Б.К. (СПб)";"МЗП субъекта по региональным соглашениям";"МЗП СПб; выплаченное выше МЗП";"в деньгах отказано, оставлено";"Выплаченное выше МЗП — довзыскание было бы неосновательным обогащением"
"23";"88-1848/2025";"27.01.2025";"2-38/2024";"начальник хозчасти (0,5 ставки)";"ООО ""Семь"" (Калининградская обл.)";"согласованный размер, сверка с 0,5 МРОТ";"10 000 руб.";"оставлено без изменения";"Статданные неприменимы при несоответствии функции профгруппе; срок давности отсёк периоды"
"24";"88-23939/2024";"16.12.2024";"2-154/2024";"уборщик территории";"ООО ""Премиум сервис"" (Новгородская обл.)";"согласованный оклад (протокол, свидетели)";"18 900 руб.";"оставлено без изменения";"Бремя доказывания выплаты согласованной зарплаты — на работодателе"
"25";"88-22720/2024";"11.11.2024";"2-3655/2023";"мастер обучения вождению";"АНО УЦ ""Елена"" (Калининград)";"сдельная расценка из ""договора о найме""";"расценка за занятие";"оставлено без изменения";"Согласованная расценка — письменное доказательство размера; п. 23 не нужен"
"26";"88-20590/2024";"21.10.2024";"2-1646/2024 (заход 2)";"должность обезличена";"ИП К.Ж.ПА. (Гатчина)";"ошибочно прожиточный минимум; надлежит МЗП";"прожиточный минимум (отменено)";"отменено, новое рассмотрение";"Подмена МЗП прожиточным минимумом — нарушение п. 23 и ст. 133.1 ТК"
"27";"88-20671/2024";"09.10.2024";"2-4680/2023";"продавец-кассир";"ИП Ш. (СПб)";"МЗП субъекта (ст. 133.1 ТК)";"МЗП СПб";"оставлено без изменения";"Классика п. 23: нет письменных доказательств размера — взыскание из региональной МЗП"
"28";"88-15312/2024";"05.08.2024";"2-934/2023";"монтажник 5 разряда";"ООО ПО ""Химсталькомплект"" (Коми)";"обычное вознаграждение (статистика), сверка с МРОТ";"выплаты выше МРОТ и обычного вознаграждения";"в задолженности отказано, оставлено";"Выплаты выше МРОТ и обычного вознаграждения — задолженности нет; статус СМП необязателен"
"29";"88-14219/2024";"24.06.2024";"2-3972/2023";"руководитель отдела продаж";"АНО ""ЦРП+"" (Калининград)";"обычное вознаграждение по статистике";"Калининградстат 64 149,10 руб.";"частично отменено, новое рассмотрение";"Апелляция вправе по ст. 327.1 ГПК истребовать статистику; разовые премии не в системе оплаты"
"30";"88-10284/2024";"17.06.2024";"2-2846/2022";"начальник МТС";"АО ""ПУИС ""ППД"""" (Архангельск)";"минимум по п. 23 (не спас акт)";"не менее 68 665 руб.";"отменено, новое рассмотрение";"П. 23 не заменяет установления периода отношений и вынужденного прогула"
"31";"88-7733/2024";"22.04.2024";"обезличено";"автослесарь П.";"ООО ""СТО-ДСГ""";"МЗП субъекта";"МЗП СПб 19 000 руб.; выплачено 47 520 руб.";"оставлено, в зарплате отказано";"Выплаченное истцу превысило расчёт из МЗП — задолженности нет"
"32";"88-5864/2024";"08.04.2024";"обезличено";"бригадиры СМР Т. и Д.А.";"ООО ""КСТ"" (ранее ИП К.)";"обычное вознаграждение — статистика профгруппы";"статданные 67 070 руб.";"оставлено без изменения";"Статистика Росстата по профгруппе региона восполняет отсутствие письменных доказательств"
"33";"88-4082/2024";"28.02.2024";"обезличено";"бухгалтер (обезличено)";"ООО ""Союз-Металлпром""";"МЗП субъекта с зачётом выплат";"МЗП СПб минус выплаченное = 2 483,71 руб.";"оставлено";"Заявленный оклад недоказан — МЗП минус фактически выплаченное"
"34";"88-23100/2023";"15.11.2023";"обезличено";"электромонтёр Н.С.М.";"ООО ""Аркада"" (микропредприятие)";"обычное вознаграждение — статистика профгруппы";"Калининградстат 41 080,20 руб.";"оставлено полностью";"Статус микропредприятия установлен по реестру; статданные по профгруппе применены прямо"
"35";"88-20881/2023";"11.10.2023";"обезличено";"водитель (обезличено)";"ИП (обезличено)";"обычное вознаграждение, пропорц. неполному дню";"43 530,10 руб.";"оставлено без изменения";"Статданные крупных/средних организаций применимы к ИП без доказательств различий"
"36";"88-19685/2023";"27.09.2023";"обезличено";"су-шеф (обезличено)";"ООО ""Век-Балт""";"штатное расписание и вакансия ответчика";"тарифная ставка штатного расписания";"оставлено полностью";"П. 23 — рамка; размер взят из тарифной ставки штатного расписания работодателя"
"37";"88-16224/2023";"11.09.2023";"обезличено";"водитель КАМАЗа Я.В.И.";"ИП К.И.В.";"МЗП субъекта";"МЗП СПб 19 190/19 650 руб.; выплачено 424 420 руб.";"оставлено, в зарплате отказано";"Выплаты превысили расчёт из МЗП; суд статистику по своей инициативе не истребует"
"38";"88-13744/2023";"30.08.2023";"обезличено (заход 2; ср. дело 43)";"юрисконсульт Л.П.А.";"АО ""Молоко""";"оклад по трудовому договору (п. 23 неприменим)";"оклад по договору";"оставлено, в части отказано";"П. 23 — только при неоформленных отношениях; ""серая"" зарплата аудио/статистикой недоказуема"
"39";"88-13476/2023";"10.07.2023";"обезличено";"начальник участка Ч.";"ООО ""Север-Проммонтаж"" (микропредприятие)";"федеральный МРОТ × РК 1,5 + северная 80 %";"МРОТ с коэффициентами";"оставлено без изменения";"Нет статистики по должности в СМП и региональной МЗП — МРОТ с коэффициентами"
"40";"88-12632/2023";"19.06.2023";"обезличено";"водитель Х.В.Ю.";"ИП В.Ф.Р.";"оклад из трудового договора";"18 000 руб.";"оставлено полностью";"Оформленный договор исключает пересчёт по ""обычному вознаграждению"""
"41";"88-7696/2023";"10.05.2023";"обезличено";"исполнительный директор магазина";"ИП Д. (Мурманская обл.)";"заявленные 125 000 руб. без оценки документов (отменено)";"125 000 руб.";"отменено в части, новое апелляционное";"Суд обязан оценить штатное расписание/приказ/ИЛС работодателя; голое ""не опровергнуто"" недостаточно"
"42";"88-20994/2022";"14.12.2022";"обезличено";"ночной администратор отеля";"ИП Г.Е.Н. (СПб)";"расчёт истца без проверки (отменено)";"по расчёту истца";"отменено в части, новое апелляционное";"Отсутствие контррасчёта ответчика не заменяет установления размера зарплаты судом"
"43";"88-21607/2022";"30.11.2022";"обезличено (заход 1; ср. дело 38)";"юрисконсульт";"АО ""Молоко"" (Калининград)";"«серая» зарплата по справкам/аудио/Росстату (отменено)";"—";"апелляция отменена полностью";"П. 23 неприменим при оформленном договоре; оплата меняется только письменным соглашением (ст. 72 ТК)"
"44";"88-16603/2022";"26.09.2022";"обезличено";"производитель работ";"ООО ""Арктика"" (Архангельск)";"МРОТ с районным коэффициентом и северной надбавкой";"МРОТ с северными повышениями";"оставлено без изменения";"При недоказанности размера расчёт из МРОТ с северными повышениями правомерен"
"45";"88-15678/2022";"12.09.2022";"обезличено";"заместитель директора";"ООО ""Витраж"" (Карелия)";"МРОТ с районным коэффициентом и надбавкой";"МРОТ с повышениями";"оставлено без изменения";"Справка о зарплате давнего периода размер в спорном периоде не подтверждает"
"46";"88-15912/2022";"12.09.2022";"обезличено";"слесарь-установщик";"ИП ""Алармстор"" (СПб/Ленобл.)";"МЗП СПб 18 000 (первая инстанция)";"МЗП СПб 18 000 руб.";"отказ оставлен в силе";"П. 23 вторичен: не доказаны отношения именно с ИП, а не с его ООО"
"47";"88-15534/2022";"05.09.2022";"обезличено";"охранник";"ООО ОП ""АРЕС"" (СПб)";"региональная МЗП";"МЗП СПб 18 000/19 000 руб.";"оставлено без изменения";"Копия договора без подписи работодателя — не доказательство; правомерна региональная МЗП"
"48";"88-11633/2022";"13.07.2022";"обезличено";"главный инженер";"ООО УК ""Коммунальный стандарт"" (Новгородская обл.)";"МЗП субъекта (первая инстанция)";"МЗП Новгородской обл.";"отказ оставлен в силе";"Истец не подтвердил квалификацию и выполнение функции главного инженера"
"49";"88-18492/2021";"01.12.2021";"обезличено";"врач";"ООО ""Стоматологическая клиника ""Новый век"""" (Ленобл.)";"оклад по штатному расписанию (отменено)";"20 000 руб.";"отменено в части, новое первое";"Одного штатного расписания мало: нужны данные о фактических выплатах аналогичным работникам"
"50";"88-11388/2021";"25.08.2021";"обезличено";"руководитель контрольно-ревизионного отдела";"ООО ""СПб Дом Книги""";"размер не переопределялся (договор оформлен)";"—";"апелляция отменена, новое апелляционное";"П. 23 как аргумент по аналогии: неоформленность условий не снимает обязанности их установить"
"51";"88-3532/2021";"07.04.2021";"обезличено";"тренер Р.";"ООО ""Спорт-Центр ""Приморский"""" (СПб)";"МЗП без исследования обычного вознаграждения (отменено)";"МЗП СПб";"апелляция отменена в денежной части";"МЗП — лишь при доказанной невозможности установить обычное вознаграждение"
"52";"88-37/2021";"27.01.2021";"обезличено";"менеджер по тендерам Б.";"ИП Н. (Вологда)";"штатное расписание ИП";"11 500 руб. + РК";"оставлено без изменения";"П. 23 процитирован, но применено штатное расписание; кассация не переоценивает доказательства"
"53";"88-61/2021";"18.01.2021";"обезличено";"начальник участка Ш.С.";"ООО ""Уралнефтехиммонтаж"" (Новгород)";"МЗП из прожиточного минимума (отменено)";"прожиточный минимум";"апелляция отменена полностью";"Нельзя применять МЗП без обсуждения обычного вознаграждения; электронная переписка — полноценное доказательство"
"54";"88-3113/2020";"02.03.2020";"обезличено";"начальник службы контроля А.";"ООО ""Силикатный завод"" (Калининград)";"обычное вознаграждение — статистика Росстата";"25 517,80 руб.";"оставлено без изменения";"Позитивный образец: размер зарплаты определён по статистике Росстата для профгруппы региона"
