"№";"Определение";"Дата";"Дело N";"Истец (должность)";"Ответчик";"Способ определения размера ЗП";"Размер / база расчёта";"Итог";"Ключевой вывод по п. 23"
"11";"88-5416/2025";"17.03.2025";"2-618/2024";"менеджер / начальник отдела продаж";"ИП";"пояснения истца + данные УФСГС";"100 000 руб./мес.";"оставлено";"неподписанный работником договор/допсоглашение — недопустимые доказательства размера"
"12";"88-2468/2025";"20.01.2025";"2-684/2024";"мастер-приёмщик";"ИП";"оклад из последующего письменного договора";"15 750 руб.";"оставлено";"статистика недопустима при наличии письменного доказательства («обратное» действие п. 23)"
"13";"88-25332/2024";"16.09.2024";"2-979/2023";"директор";"ООО «УК Стимул 71» (микропредприятие — реестр МСП)";"2-НДФЛ + сведения СФР";"18 000 руб.";"оставлено";"2-НДФЛ/СФР — письменные доказательства; работник не вправе требовать статистику, даже более выгодную"
"14";"88-24270/2024";"05.08.2024";"2-2525/2023";"менеджер по продажам";"ООО «АЙБИПИ»";"обычное вознаграждение (УФСГС, профгруппа «специалисты по сбыту»)";"93 617 руб.";"оставлено";"апелляция вправе сама истребовать статистику как новое доказательство; аналогия с окладом другой должности недопустима"
"15";"88-19980/2024";"08.07.2024";"2-1852/2023";"горный инженер";"ООО «Лотос»";"совокупность письменных доказательств (штатное расписание, приказ, 2-НДФЛ, история выплат)";"17 000 руб. + РК 1,7 + СН 80%";"оставлено";"завышенная оценка истца (1 млн руб.) отсекается документальной совокупностью"
"16";"88-6209/2024";"20.02.2024";"УИД 64RS0045-01-2020-003857-30";"кровельщик";"ООО «ПКП Теплосфера» (цикл 2)";"обычное вознаграждение (отраслевая средняя, ОКВЭД 43)";"25 335,90 руб.";"оставлено";"суд не связан заявленной суммой (40 446 руб.), если она выше статистики"
"17";"88-29394/2023";"17.10.2023";"2-4851/25-2022";"юрист (прокурорский иск)";"ИП";"федеральный МРОТ";"13 890 руб.";"оставлено";"МРОТ — резерв при полном информационном вакууме; молчание работодателя против него"
"18";"88-23648/2023";"31.07.2023";"2-524/2021";"генеральный директор";"ООО «Квартал-М» (цикл 2)";"обычное вознаграждение (руководители в строительстве) > заявленного → пределы иска";"57 471 руб./мес. (статистика 103 157)";"оставлено";"штатное расписание без доказательства фактической выплаты размер не доказывает"
"19";"88-21488/2023";"03.07.2023";"2-1131/2022";"администратор";"ООО «Суши Мастер Черноземья»";"обычное вознаграждение (Воронежстат) — средний заработок за прогул";"861 292,61 руб.";"оставлено";"п. 23 применяется к производным выплатам (средний заработок за прогул)"
"20";"88-16802/2023";"05.06.2023";"2-5560/2021";"начальник отдела развития";"АО «XXI век-ТВ»";"заявление истца (ст. 68 ГПК)";"65 000 руб.";"оставлено";"при полной пассивности работодателя — версия истца; п. 23 декларативно"
"21";"88-13823/2023";"30.05.2023";"—";"оператор профилегибочного оборудования";"ИП (Липецк)";"обычное вознаграждение (Липецкстат)";"средний заработок за прогул 861 892,16 руб.";"оставлено";"отсутствие должности в штатном расписании ИП не опровергает статистику"
"22";"88-12279/2023";"16.05.2023";"—";"подсобный рабочий";"ООО «ПКП Теплосфера» (цикл 1)";"МРОТ без исследования обычного вознаграждения";"11 280 руб.";"отменено в части";"пропуск этапа обычного вознаграждения — нарушение иерархии п. 23, основание отмены"
"23";"88-6471/2023";"18.04.2023";"—";"бухгалтер";"ООО «Элсимед» (цикл 2)";"обычное вознаграждение (Росстат, бухгалтеры МСК и МО)";"64 199 руб. (вместо заявленных 80 000)";"оставлено";"статистика заменяет заявленную сумму при недоказанности оклада, несмотря на доказанные отношения и выплаты"
"24";"88-11391/2023";"18.04.2023";"—";"машинист-оператор бульдозера";"ООО «СДК Рентал» (СМП)";"МРОТ г. Москвы (справка Мосстата без СМП несопоставима; штатное расписание 20 000)";"21 371 руб.";"оставлено";"статистика должна быть сопоставима по статусу СМП; ориентир — оплата той же должности у работодателя, но не ниже МРОТ"
"25";"88-6099/2023";"07.03.2023";"—";"руководитель хозслужбы отеля";"ООО «АРС»";"обычное вознаграждение (Мосстат, наиболее соответствующая должность)";"36 535 руб.";"оставлено";"вакансии и зарплата свидетеля на другой должности отвергнуты; средний заработок через п. 8 Положения № 922"
"26";"88-2030/2023";"31.01.2023";"—";"охранник (график 2/2 по 15 ч)";"ООО ЧОП «КОНТР-ОЛ»";"обычное вознаграждение (Мосстат) × фактические смены";"прогул 205 200 руб.";"оставлено";"для сменного графика — от фактических смен + статистика региона"
"27";"88-1455/2023";"24.01.2023";"—";"многолетний работник";"бывший ИП";"МЗП Московской области 2019 г.";"14 200 руб.";"оставлено";"исторический договор 2006 г. размер за поздний период не подтверждает — МЗП субъекта за соответствующий год"
"28";"88-1347/2023";"16.01.2023";"—";"охранник";"ООО ЧОП «Кодекс А1»";"штатное расписание";"15 500 руб.";"оставлено";"штатное расписание приоритетнее расчётных ведомостей истца (1 400 руб./смена)"
"29";"88-33502/2022";"12.12.2022";"—";"юрист";"ООО «Пивная Столица»";"обычное вознаграждение (Мосстат)";"1 297 120 руб.";"оставлено";"молчание работодателя о выплатах → статистика; бремя доказывания ГПХ — на работодателе"
"30";"88-31546/2022";"12.12.2022";"—";"электромонтажники (прокурорский иск)";"ООО «АМТК»";"обычное вознаграждение (Брянскстат)";"33 152 руб. (вместо устных 45 000)";"оставлено";"устная договорённость — не письменное доказательство в смысле п. 23"
"31";"88-30167/2022";"05.12.2022";"УИД 50RS0021-01-2020-002767-72";"генеральный директор";"ООО «Квартал-М» (цикл 1)";"автоперенос зарплаты предшественника (ошибочно)";"57 471 руб.";"отменено в части";"автоперенос недопустим: надо оценить локальные акты ответчика или истребовать статистику"
"32";"88-26119/2022";"21.11.2022";"33-1693/2022";"водитель такси";"ООО «Валуйская автоколонна»";"расчёт истца без исследования локальных актов (ошибочно)";"20 000 руб.";"отменено в денежной части";"размер требует самостоятельного доказывания; средний заработок — только из выплат данного работодателя"
"33";"88-23107/2022";"24.10.2022";"33-923/2022";"менеджер по продажам (удалённо)";"ООО «Крандеталь»";"штатное расписание";"13 230 руб.";"оставлено";"вакансия «40 000» подтверждает лишь гарантированный оклад, не переменную часть"
"34";"88-26869/2022";"10.10.2022";"2-277/2022";"продавец";"ИП";"устная договорённость, верифицированная Росстатом";"15 000 руб.";"оставлено (кроме ст. 236)";"«проверка на разумность» устной договорённости; неначисленная ЗП исключает ст. 236 ТК"
"35";"88-23900/2022";"04.10.2022";"УИН 50RS0001-01-2021-005617-67";"юрисконсульт";"ООО НТЦ «Измеритель»";"обычное вознаграждение (УФСГС, «юристы»)";"44 050 / 49 365 руб.";"оставлено";"выбор статистической справки (год, профгруппа) — оценка, кассацией не пересматривается"
"36";"88-21186/2022";"15.08.2022";"2-4726/2021";"зам. гендиректора";"ООО «Земля» (цикл 1)";"статистика несопоставима (иной ОКВЭД; данные без СМП)";"96 135 / 106 377 руб.";"отменено полностью";"статус СМП и ОКВЭД работодателя — юридически значимые обстоятельства, подлежат установлению"
"37";"88-15946/2022";"21.06.2022";"2-1953/2020";"бухгалтер";"ГСК «Тройка» (цикл 2)";"обычное вознаграждение (УФСГС) с корректировкой на режим 1 день/нед.";"55 185 руб.";"оставлено";"п. 23 применим при «пустом» условии об оплате в формальном договоре"
"38";"88-12871/2022";"24.05.2022";"2-1615/2020";"менеджер по логистике";"ООО «ТК Экскурс груп»";"вакансия hh.ru (начальный период) + Белгородстат";"35 000 → 43 840 руб.";"оставлено";"допустимо сочетание источников по периодам"
"39";"88-10716/2022";"19.04.2022";"2-791/2021";"финансовый директор";"ООО «Интеллект» (СМП)";"обычное вознаграждение по ОКВЭД с учётом статуса СМП";"88 131 руб.";"оставлено";"выплаты ≥ обычного вознаграждения → задолженности нет (п. 23 в пользу работодателя)"
"40";"88-8890/2022";"04.04.2022";"УИД 46RS0011-01-2020-001625-54";"продавец-консультант";"ИП (Курская обл.)";"МРОТ вместо показавшей больше статистики (ошибочно)";"—";"отменено полностью";"немотивированный откат к МРОТ — основание отмены; МРОТ — последний резерв"
"41";"88-31836/2021";"14.12.2021";"—";"бухгалтер";"ГСК «Тройка» (цикл 1)";"сведения ИЛС (ошибочно)";"30 000 руб.";"отменено апелляционное определение";"ИЛС не безусловны, если работник сам формировал отчётность; выбор размера требует мотивировки по п. 23"
"42";"88-27830/2021";"23.11.2021";"—";"диспетчер грузоперевозок";"ИП";"не определялся (отмена)";"—";"отменено полностью";"п. 23 в связке с п. 17–22: сначала презумпция ТО (бремя на работодателе), затем размер"
"43";"88-26826/2021";"16.11.2021";"—";"специалист по взысканию";"ООО «ЦАФ» (цикл 2)";"МЗП по региональному соглашению Липецкой обл.";"301 336,40 руб.";"оставлено";"МЗП при неподписанном договоре и неначисленной ЗП — правильная методология"
"44";"88-28394/2021";"16.11.2021";"—";"бухгалтер";"ООО «Элсимед» (цикл 1)";"голые утверждения истца (ошибочно)";"80 000 руб.";"отменено полностью";"утверждения истца + молчание ответчика недостаточны — нужна объективная проверка по п. 23"
"45";"88-24012/2021";"01.11.2021";"2-43/2021";"прораб";"ООО «Новостройка»";"штатное расписание";"14 000 руб.";"оставлено";"п. 23 — только при отсутствии письменных доказательств; штатное расписание приоритетно"
"46";"88-21276/2021";"19.10.2021";"—";"коммерческий директор";"ИП";"МРОТ без исследования зарплат других работников (ошибочно)";"497 042,60 руб. (отменено)";"отменено в части";"сначала — обычное вознаграждение, в т.ч. зарплаты аналогичных работников того же работодателя"
"47";"88-22204/2021";"20.09.2021";"—";"водитель (ответчик по иску о займе)";"ООО «Зенит»";"п. 23 «в обратную сторону»";"—";"оставлено";"отсутствие у работодателя документов о выплате — против него (ЗП считается невыплаченной)"
"48";"88-22203/2021";"13.09.2021";"2-85/2021";"охранник";"ООО ЧОО «Молот»";"ставка из объяснений сторон × графики дежурств";"1 000 руб./смена";"оставлено (кроме ст. 236)";"допустимый способ: согласованная ставка + документальные графики работы"
"49";"88-17119/2021";"23.08.2021";"2-231/2020";"продавец";"ИП";"заявление истца + сверка с Росстатом";"15 000 руб.";"оставлено";"заявление + пассивность работодателя + сверка со статистикой = достаточная база"
"50";"88-12626/2021";"23.08.2021";"—";"повар-сушист";"ИП";"МЗП Брянской обл. (мотивированная невозможность)";"—";"оставлено";"образцовая мотивировка перехода к МЗП: нет сведений о сменах и их продолжительности"
"51";"88-18388/2021";"10.08.2021";"—";"водитель";"ИП (Нижегородская обл.)";"обычное вознаграждение (Росстат, отрасль «транспорт»)";"39 970,50 руб.";"оставлено";"фактические выплаты сопоставимы со статистикой → задолженности нет (п. 23 в пользу работодателя)"
"52";"88-15333/2021";"20.07.2021";"—";"зам. директора по снабжению";"ООО «Карат Мастер»";"расчёт истца без проверки (ошибочно)";"40/50 тыс. руб.";"отменено в части";"неприменение п. 23 — самостоятельное основание отмены; обязателен проверяемый расчёт"
"53";"88-15120/2021";"13.07.2021";"—";"бухгалтер";"ООО «Стройрегионресурс-НН»";"средний заработок по ст. 139 ТК при неначисленной ЗП (ошибочно)";"469,64 руб./день";"отменено в части";"при неначисленной ЗП — только п. 23; ст. 139 и ст. 236 ТК неприменимы"
"54";"88-14259/2021";"06.07.2021";"—";"зам. гендиректора";"ООО «ТТ-Логос» (цикл 2)";"обычное вознаграждение (Росстат по годам)";"105 220 / 141 145 / 168 568 руб.";"оставлено";"«пустое» условие об оплате = отсутствие соглашения; МРОТ для квалифицированной должности противоречит ст. 129 ТК"
"55";"88-12450/2021";"24.05.2021";"—";"водитель";"ООО «Ханкс»";"МЗП по региональному соглашению Нижегородской обл.";"—";"оставлено";"незаверенные РКО, свидетели, вакансия после увольнения — недопустимые доказательства"
"56";"88-8152/2021";"19.04.2021";"—";"водитель-экспедитор (ответчик)";"ИП";"статистика подтверждает устную договорённость";"45 000 руб. (против формальных 14 000)";"оставлено";"п. 23 опровергает заниженный «официальный» оклад, установленный в уклонение от налогов"
"57";"88-2032/2021";"15.02.2021";"—";"зам. гендиректора";"ООО «Земля» (Тимофеева)";"не определялся (отмена)";"—";"отменено в части";"бремя по обстоятельствам оплаты — на работодателе; отказ без их установления невозможен"
"58";"88-696/2021";"25.01.2021";"—";"администратор / преподаватель английского";"ИП";"устная договорённость (без проверяемого расчёта)";"30 000 руб. + сдельно";"отменено в части";"даже при доказанной договорённости обязателен проверяемый расчёт (дни, занятия, выплаты)"
"59";"88-26935/2020";"14.12.2020";"—";"зам. гендиректора";"ООО «ТТ-Логос» (цикл 1)";"«среднее из фактических выплат» (ошибочно)";"164 545,45 руб.";"отменено полностью";"нелегитимный метод; обязателен п. 23: статистика → МЗП"
"60";"88-23601/2020";"26.10.2020";"—";"специалист по взысканию";"ООО «ЦАФ» (цикл 1)";"МЗП по региональному соглашению Липецкой обл.";"87 796 руб.";"отменено по основаниям увольнения (расчёт одобрен)";"МЗП при неисполнении работодателем решения о признании отношений — верный подход"
